忆江南·咏玫瑰（清·陆震）	春来卉。堪爱独玫瑰。簪鬓放娇怜紫艳，伴糖津咽胜红蕤。枯润总香飞。
忆江南·清明六首（清·陆震）	清明节，天意晓来和。正喜乍晴晴不久，愁他欲雨雨偏多。佳节惜虚过。
忆江南·初夏九咏，和刘蔚园（清·陆震）	高田麦，四月未全黄。实绽已堪盈把捋，味香且任满盘尝。渐入好年光。
谒金门·闺怨（清·陆震）	芳草碧。又是一番春色。独倚阑干珠泪滴。不知罗袖湿。·欲寄天涯消息。为问归鸿可的。只恐天涯流落客。归鸿他不识。
忆江南·辛巳清明（清·陆震）	清明节，回首望先茔。合抱树皆经水拔，一抔土欲与田平。念此最伤神。
眉峰碧·夜泊许家堡（清·陆震）	杯酒虽欢聚。不惯他乡住。荒村寂寂水漫漫，又重盼、来时路。·向夕停舟处。风雨声偏楚。何似当初径不来，而今也不还家去。
忆江南·端阳词（清·陆震）	端阳节，风物与常殊。屋角乱红开蜀季，街头新绿买菖蒲。都挂辟邪符。
点绛唇·雨中戏作（清·陆震）	雨雨风风，天公已做新秋势。驱愁无计。且买今宵醉。·索取床头，早拂山妻意。君休矣。青钱无几。留籴晨炊米。
唐多令·邗江喜遇友人酒间赠此（清·陆震）	下马解貂裘。相携上酒楼。问年来、何地飘流。北踏幽燕南闽粤，憔悴了，十多秋。身世等蜉蝣。功名雪满头。且高歌、一曲凉州。君若问余心上事，说不尽，半生愁。
黄金缕·寒夜口占（清·陆震）	寒夜空堂人一个。心上愁多，不寐摊书坐。将近三更犹未卧。乍惊骤雨天边过。洒向小窗声更大。纸薄难禁，容易风吹破。衾枕安排浑未妥。床前扑杀银釭火。
南柯子·落花（清·陆震）	庭树风吹后，苍苔雨过初。眼前犹有落花铺。只恐明朝，还并落花无。藤密全低户。桐高已出闾。新条嫩叶又将舒。染就窗间，浑是绿琴书。
少年游·闲庭（清·陆震）	閒庭风雨晚来狂。沽酒正相当。花气清芬，空阶寂静，归去不须忙。从来富贵原无定，行乐有何妨。十万尊罍，三千曲调，豪爽少年场。
虞美人·今宵（清·陆震）	今宵明月当窗大。独有愁人坐。一般白昼也销魂。何必凄凉怕过是黄昏。多情原与多情忆。不为君颜色。若因颜色始相思。难道世间真个似君稀。
虞美人·郑克柔述梦（清·陆震）	寻思百二河山壮。更蹠莲峰上。那能牖下死勾留。恨煞尘缘欲脱苦无由。故人一觉荒唐甚。娓娓殊堪听。君还有梦到秦中。我并灞桥驴背梦俱空。
一剪梅·和胡修来（清·陆震）	三年音信隔关河。鱼也传讹。鸟也传讹。春残一棹远相过。江上风波。湖上烟波。可叹天涯鬓总皤。尔奈愁何。我奈愁何。绝无他物可消磨。诗是君多。酒是臣多。
一剪梅·初度日作（清·陆震）	少日飞腾愿颇赊。富也无加。贵也无加。鬓毛转眼不成鸦。霜点些些。雪点些些。事无一可向人誇。名也输他。利也输他。只馀清福让贫家。窗外梅花。窗里兰花。
一剪梅·八月十四夜同刘叔裔玉带桥看月（清·陆震）	酒酣真想策金鳌。欲上仙桥。且上河桥。何当更上玉楼高。万井烟消。万里云消。烂烂银盘挂碧霄。明见秋毫。圆欠分毫。阴晴天意最难料。料想来宵。胜似今宵。
一剪梅·小窗（清·陆震）	小窗雨歇绿全侵。半是桐阴。半是蕉阴。微风斜日坐孤吟。半是閒心。半是愁心。酒徒三五是知音。不是东寻。便是西寻。散时往往月都沉。不是杯深。便是谭深。
鹧鸪天·题友人游黄山图（清·陆震）	怪异幽深莫可穷。何年于此策孤筇。缘梯直蹑莲花顶，扪壁还登信始峰。眠醉石，抚龙松。一观云海荡心胸。今生未遂来生补，也到黄山白岳中。
鹧鸪天·无题（清·陆震）	多病多愁剩此身。眼前不觉又逢春。旧游乐事浑如昨，何处吹箫觅玉人。空有泪，暗沾巾。可怜月夕与花晨。别来细算无多日，一半娇容记不真。
