天兴二年都尉司铜印（清·李映棻）　　七言绝句　押先韵	古印沈埋久尚传，共将磨洗认铜仙。晚霞世界依然否，愁说天兴第二年。
伯牙台（清·李映棻）　　押纸韵	高山不在山，流水不在水。天下善音人，但默会其理。天下知音人，但微契其旨。山水无古今，知交有生死。注茫天地间，赏音能有几。我过伯牙台，辄思焚绿绮。
过随州书妖人赵光璧事（清·李映棻）	秀才造反真怪事，投书忽起窥神器。天钟戾气大洪山，何物仙人太游戏。某也当为王，某也当为帝。某也大将才，某也宰相位。仙笔一一分位置，黄旗一举惊天地。一战随州破，再战安陆弃。乾坤反掌只寻常，真人重瞳殊自异。那知铁骑从天来，如猎攫鼠鹰搏雉。井底蛙跳空自尊，篝中狐鸣何足恃。始叹作贼固自难，不如学作时文易。寄语人间诸秀才，总须安守头巾气。
