书刘文清公家言长卷后（清·夏翼朝）　　七言绝句　押尤韵	油螺松饼谙乡味，璅屑家言一一搜。缄付月华居士读，不教韦陟擅风流。
莱臧赋赠泰始砖砚歌奉酬长句（清·夏翼朝）	赤云初卷秋气凉，庭柯櫹椮檐日黄。蕉衫落拓款扉至，泖东野客殊轩昂。螊庐惯羁长者辙，说经论史辞铿锵。商周彝鬲少藏弆，石田数亩资耕穰。绮函髹匣久珍閟，鼠璞什袭嗤疏狂。典午丸泥重陶埴，端逾歙谁评量。士衡嗜古有卓识，摩挲嗟叹长毋忘。审定点画岩电炯，殷勤叩我来何方。李侯昔日辞蓬岛，一封墨绶淮南道。八公山古贮烟霞，廉颇邱荒萟粳稻。治谱常怀运甓勤，清吟时伴陶泓老。单骑班春出郭行，间共龛僧事幽讨。墙阴隐起阑干纹，士绣斓斑字完好。长九寸二博半之，晋武泰始十年造。旁有旆人陈黑名，或云督将姑弗考。忆自陈骞镇寿春，千五百年旧城堡。铜驼宫殿尽荆榛，仅余残垒球图宝。笔法古朴苍劲储，东京碑额输精藻。良工手擘墨池云，衙斋花落仙人扫。万重缇䌌寄双鱼，削椟匆匆不暇草。君闻此说心颜开，快斟绿蚁倾金罍。追摹斯籀寘怀衷，习日急走长须来。淋漓大笔媲韩孟，陆离璀璨惊雄才。解注孪孳溯鷇彀{孛殳}，雕缋状貌穷胚胎。五凤五年检汉纪，苏斋辨证岁月该。孙吴宝鼎雁岭出，竹垞跋语尤奇瑰。斯砖缜密无薜暴，蜀师天册元康陪。何人抟土受模范，瓦砾弃掷烟莓苔。虫涎粉蛀耀光采，那肯埋灭随劫灰。新诗琅琅字三百，八砖吟馆同鸿裁。自笑空拈兔园册，缁尘屡染长安陌。石交喜结文字缘，蟾蜍注水摇寒碧。蝌书鸟迹辨模糊，峄山难访秦时石。漫将{立鬲}扁细商量，几能煤麝功勋策。蛟慵螭懒蝗蚓蟠，学书未成手如戟。销尽桑生铁一方，磨墨磨人慨陈迹。刮膜重看砖上文，日日临池望三益。歌罢濡毫写赫蹄，隃麋光射窗纱白。
宋丈实父学博以家醴谷检讨半舫诗集暨筠庄侍御所纂汉名臣言行录见饷并附佳石属镌私印赋长歌二十韵（清·夏翼朝）　　押尤韵	吾家珠湖两太史，名誉烜赫传神州。棣华竞爽重文苑，如椽健笔今枚邹。微云快婿我执友，怡然相见京华秋。寓书远饷二专集，发函珍重逾琅球。鸿博新诗号半舫，渊明子厚高唱酬。吊古怀贤意苍莽，直与魏晋乐府侔。追和韩苏石鼓韵，木难火齐珊瑚钩。当年衡文赴东粤，药笼参朮殷勤收。我读斯编望洋叹，昆仑源泻黄河流。筠庄侍御粹经术，淹贯史籍无全牛。两汉名臣录嘉懿，发凡起例精校仇。班书范志最闳富，馈贫几册充乾糇。手定禹贡汇览注，已山作序力阐幽。檃括毛傅称善本，铿铿经说童蒙求。此稿萧斋久藏弆，副以兹刻光凝眸。先生归去日无事，但藉著述销穷愁。谢病应同孔巢父，稽古不让李邺侯。贻来绝胜百朋锡，一瓻何用增烦忧，衰年窃笑手腕弱，桃花鱼脑艰雕锼。付与床头捉刀客，细商{立鬲}扁蟠蛟虬。
中秋四首和频伽居士灵芬馆韵（清·夏翼朝）　　押东韵	淅沥宵未歇，古砌吟秋虫。浮云翳朗月，望眼徒朦胧。故园阻长道，揽景区异同。萧瑟怯衣单，披拂怜雌风。幸有插架书，寝馈于其中。黄初暨大历，尚友忻相逢。
