凉州词（清·傅昂霄）　　七言绝句　押微韵	九月霜高塞草腓，征鸿无数向南飞。深闺莫道秋砧冷，夜夜寒光满铁衣。
江行（清·傅昂霄）　　七言绝句　押寒韵	白云明月漾微澜，空外秋声落远滩。燕子矶头中夜起，一天星斗大江寒。
饮马长城窟（清·傅昂霄）	君不见长城之北青海边，平沙直上黄云天，沙中白骨堆何年？阴山九月风怒号，风吹戍火连云高。云中五原军出幕，左贤右贤心胆落，军中大将闻姓霍。鼓声如雷笳声死，冒围脱走天骄子。烽烟一扫万里秋，汉家天子恩未酬，男儿何用言封侯。太白蚀月旄头没，归来饮马长城窟。
