忆王孙 秋夜（清·姚凤翙）	熏笼夜静篆烟微。残月侵帘梦破时。一阵秋风冷透帏。泪沾衣。卜尽金钱人未归。
桃源忆故人 春闺（清·姚凤翙）	乍晴乍雨清明候。初试罗衣寒透。满目繁华铺绣，恨杀东风骤。春光岁岁犹依旧。不管愁人消瘦。百舌唤残芳昼，羞掷相思豆。
风中柳 和外韵（清·姚凤翙）	时序关心，闻说春来偏恼。恨萋萋、侵阶芳草。痴情无那，把飞鸿私告。系红笺、报君知道。羞对菱花，瘦影堪怜堪笑。不成眠、相思梦杳。临歧曾订，聚首庭梅早。百花残、又看春老。
菩萨蛮 对月（清·姚凤翙）	清光暗入红罗帐。无端照着愁模样。消瘦若为怜。嫦娥伴独眠。遣愁愁转甚。求梦难成寝。风透薄衾凉。秋来觉夜长。
卜算子 雨窗（清·姚凤翙）	晓梦怯春寒，病骨腰围褪。细雨廉纤不肯休，点点添孤闷。目断岭云遥，不见鳞鸿信。连朝何处滞征帆，搅乱人方寸。
酷相思 闺情（清·姚凤翙）	清夜寒蛩吟草树。秋雨缠绵彻曙。恨惊回好梦、无寻处。偏迷却、郎来路。不迷却、愁来路。欲寄相思千万缕。好倩宾鸿住。把泪磨残墨、题新句。书去也、神随去，神去也、愁难去。
满江红 春日偕诸姊妹雅集西园，并饯五妹张夫人北上（清·姚凤翙）	杏雨桃风，好园林，春光如画。把当年，兰亭曲水，新翻佳话。女伴喜传青鸟字，夫人肯降红鸾驾。道今朝，美景与良辰，千金价。牡丹砌，荼蘼架。紫燕语，黄鹂骂。又何须丝竹，舞台歌榭。闺秀尽同张氏妹，论诗更有多才谢。恨香车，指日上皇都，分离乍。
满庭芳 送五妹张夫人偕任长安（清·姚凤翙）　　押先韵	宝幰兰桡，江梅驿柳，与郎携手朝天。鱼绅象笏，似一对神仙。多少青山绿水，都收入，画卷诗笺。更喜双双窈窕，含笑侍妆钿。愧蓬门陋质，蒹葭倚玉，相爱相怜。有酒樽茶灶，月下花前。蓦地生生离别，思量煞、聚首何年。但愿取、鸾章凤诏，莱彩舞翩翩。
齐天乐 送侄妇吴夫人偕任宣城（清·姚凤翙）	榴花如火熏江暖，萧鼓一帆初发。鹂啭花梢，莺啼柳外，装点敬亭风月。郎君才藻。乃谢眺前身，郡楼重谒。道韫留题，山川倍觉今生色。还识此行不久，借绛纱经史，同朝天阙。彩戏娇儿，香添侍女，都是欢娱时节。笑余蹇拙。只岁岁携觞，送人离别。翘首秋鸿，寄新诗冰雪。
