萧寺晨钟（清·田澍）　　五言绝句　押萧韵	山寺逼层霄。晨钟破寂寥。一声客梦醒，恍似泊枫桥。
题张果洞（清·田澍）	危崖构飞阁，虚空磴道悬。上有积翠缥缈之层巅。下有波涛迅激之深渊。攀萝蹑梯乃可上，遁形养性真通元。不知真人何处去，丹鼎烟飞迹俨然。洞中飞出白蝙蝠，千年不死成真仙。入朝曾应诏，步趋玉殿前。臣本方外士，不能缀班联。能令开元天子万万年。吁嗟乎蜀道险巇不可以径度，何不掷杖成桥引入大罗天。我来灵境瞻遗像，顿觉两腋习习凌风烟。洞中果老头已白，人世求仙真可怜。
铁棋仙迹（清·田澍）	上山逢白叟，疑是张果老。化为白蝙蝠，乘云去缥缈。
