前后蜀杂事诗（选十）（清·张祥龄）　　七言绝句　押阳韵	城南饿死采桑女，又听君王要税桑。山上彩楼风雨夜，笙歌谁念饲蚕忙。
踏莎行 答文叔问送别即用其韵（清·张祥龄）	吴苑莺花，越溪烟雨，湖山风月谁为主。本图弦管送年华，那期笳鼓成羁旅。似旧楼台，依然云树，游人只当看花去。绿杨三百九十桥，无桥不是相思处。
少年游（清·张祥龄）	寻邻访里，樱桃门外，车马驻城西。弄扇窗前，簪花帘底，初识避人时。低头念母，垂髫依姊，笼袜步青溪。笑拥香衾，愁宽罗带，鹦鹉未曾知。
卜算子二首（清·张祥龄）	塘暖宿鸳鸯，百树珊瑚覆。乍见东风便别离，怪得和人瘦。香颈乍回时，粉额初裁就。占得江南第一春，一夜眉梢透。
破阵子（清·张祥龄）	织女那愁河汉，班姬不怨秋风。醉后玉钗敲几股，舞罢真珠扫一丛。浅妆嫌粉红。怯病渐辞樽俎，贪欢爱理丝桐。无限昨宵恩宠事，都在人前一笑中。泪笺封几重。
踏莎行（清·张祥龄）	自恨眉娇，谁怜腰细，梦魂万里随鞍辔。销愁强饮酒千盅，不期到眼都成水。红叶题笺，茜纱封泪，灯花剔罢熏笼倚。三更犹自望羊车，黄昏早过宫门外。
巫山一段云（清·张祥龄）	鸦逐将归日，松留欲散烟。愁乡知有几重天，况堆千万山。虫网经风吹绝，又向帘旌重结。一丝分做一条心，教人怎么禁。
摊破浣溪沙（清·张祥龄）	水面红鳞欲上钩，登临无处觅高楼。庭院梨花春不管，梦悠悠。那有红颜能百岁，凭他杯酒解千愁。空把镜中双脸泪，各分流。
虞美人  蒋竹山韵（清·张祥龄）	今朝潮没帆樯上，归梦寻鸳帐。明朝携手绣楼中，玉软未温钗袅燕儿风。暂时委曲孤灯下，便是姑苏也。拌将憔悴为多情，一刻难挨离枕到天明。
玉楼春  片玉韵（清·张祥龄）	飘零也愿江南住，天为安排词客处。绮罗无主月窥帘，蜂蝶逐人香满路。娇红笼绿春无数，送酒征歌朝复暮。轻衫郎面似莲花，团扇妾怀吟柳絮。
相见欢（清·张祥龄）	楼头嘱咐流红，莫匆匆。惯自飘零休恨雨和风。深杯泪，难成醉，暮云重。又是斜阳西下月儿东。
西江月 于湖韵答少谷（清·张祥龄）	为甚侯封万里，何须药捣千年。云英分载绿蓑船，风紧杨花扑面。半卷兵书已矣，一篇酒颂依然。胡麻应熟白云天，留得桃花几片。
壶中天 石帚韵再答少谷留别（清·张祥龄）	故山抛却，把南花分做、荆台仙侣。斜日照残楼外柳，柳外青山无数。绣户春灯，画罗秋扇，泪点吹成雨。兰成已老，断肠难写愁句。薄暮千叠阳关，梅花片片，分散长安去。早是客怀无著处，空望烟波迷浦。鸥梦三生，蝶魂孤枕，留也无人住。栏干几曲，大堤南北分路。
鹧鸪天  酒边韵（清·张祥龄）	高隐青门幸不侯，西园麈尾尽英流。当筵酒阵飞千盏，藏匣诗牌剩几筹。青雀舫，紫貂裘，安排琴剑老苏州。与君重订鸥边约，早占青山买莫愁。
临江仙 六一韵（清·张祥龄）	树杪泉翻山雨霁，隔城飞到江声。半梯残照乱溪明。甘蕉修竹，一夜过檐生。细算佳期将七夕，盼他云里霓旌。晓星东上与阑平。乌云堆枕，凤鸟任从横。
后庭花 孙光宪韵（清·张祥龄）	少年裙屐誇乡国，酒痕衫色。剑阁烟鬟千点绿，甚日归得。使君名姓在，小儿能识，雨丝如织。别后相思灯下忆，汉水无极。
菩萨蛮四首 飞卿韵（清·张祥龄）	心期未定偏惆怅，深房处处垂罗帐。杯兴到浓时，腰肢无力辞。春窗梳扇羽，闲坐间言语。碧玉在他家，可怜瓜未花。
清平乐（清·张祥龄）	燕梁私语，苦恋双旌去。非是故人拦马住，翠黛乱遮行处。汉台风暖花飞，画堂昼永春晖。虽是皇恩不许，郡人总望公归。
点绛唇  余子厚从西安还蜀，遣使迎之，用俞商卿韵先寄（清·张祥龄）	望断长安，计程应到褒城路。雨声催暮，云栈无船渡。鸟道盘空，天也难成步。今如许，更闻人语，涨了溪桥水。
谒金门（清·张祥龄）	灯暗坐，画出愁人一个。茶饭不曾无泪堕，凄凉谁似我。听尽鸡鸣不寤，拌把人儿不做。玉碎花残今怎过，君怀中长大。
