春暮（清·张学圣）　　五言绝句　押侵韵	萋迷春晚心，日暮鸟归林。一点花才落，空庭草已深。
晓景（清·张学圣）　　五言排律　押麻韵	搔首见残月，幽然晓色嘉。迎风抽草带，挹露落琼葩。是物含春意，何方驻岁华。只宜倾绿醑，尤胜试香茶。海气腾寒旭，江烟作早霞。数声听渐远，争起噪群鸦。
清平乐 宫词（清·张学圣）	昭阳春暖。风送歌声远。舞罢霓裳归院晚。凝醉海棠红软。窗前鹦鹉娇呼。锦帷春梦如酥。女伴相邀斗草，云鬟起倩人梳。
