西泠感旧（清·陈权巽）　　七言绝句　押支韵	几日秋风到柳枝，可怜瘦尽绿丝丝。我来独立西湖晚，只有青山是旧时。
秋雨（清·陈权巽）　　押东韵	西风急天汉，挟雨到帘栊。诗意满梧叶，秋声老草虫。有人伤酒醒，无计破愁工。揽起纱幮碧，呼僮护林丛。
谢叠山遗琴诗为新安吴素江明经赋（清·陈权巽）	运穷江左天源涸，六陵风雨日萧索。玉雁珠凫飞满天，孤琴破土久无著。燕中流落转吴中，无人宝此三尺桐。吴君雅有古琴癖，摩挲拂拭生英风。抹眵檐前细审视，署名隐见叠山氏。铭辞十六自成文，东山之桐西山梓。快哉神物欣收藏，题诗徵事徒茫茫。清风亮节照白日，何劳秃管重低昂。不如高置百壶酒，招邀壮士一濡首。酒酣耳热剑欲鸣，便取遗琴试挥手。一弹再鼓悲风生，骈驰杂糅神魂惊。崖山怒涛忽千尺，何人恸哭西台声。凄凄切切欲愁绝，绝似兰亭水呜咽。朱鸟归来陵谷变，万里游魂肝胆裂。浮云柳絮随飞扬，徘徊顾慕哀以长。仿佛建阳东向日，悯忠寺里夜徬徨。请君推手勿终曲，座上有人泪盈掬。烟沈月落冬青寒，杜鹃啼断春山绿。玉带生，竹如意，灵物由来不终閟。松间石上遇知音，从此长留在天地。
