拟古（清·陆文铭）　　押庚韵	明月在浊流，不改月色清。孤松盘曲径，不改松性贞。君子遇险巇，此心恒荡平①。
杂诗（清·陆文铭）　　押寘韵	天地不生成，古今有何事。茫茫万劫中，生民多所嗜。黄金变为土，盗蹠亦柳季。造物起争端，无怪人趋利。有酒且斟酌，万事付一醉①。
利器行（清·陆文铭）	干将之刃筱簬箭，斩骑贯革如飞电。不逢挥剑发机人，锋铦未许伤缟练。铅刀蓬矢各逞奇，光芒骇目莫敢携。风胡去兮养由逝，吾安归兮长相思①。
日入行（清·陆文铭）	昆仑山摧若木枯，虞渊泛滥沉金乌。羲和沉缅不肯醒，后羿奋臂斗雕弧。八龙骨朽呼不起，石马嘶烟寒月里。玉桃溃裂饱青鸾，方朔偷儿今日死。茫茫元气千古浮，劫灰飞尺天地愁。回头长叫广成子，黄帝何为土一抔（全学昌谷）？
