春日彭城道中（清·田实发）　　七言绝句　押歌韵	落日岩城咽大河，美人何处帐中歌。书生不管兴亡事，只爱春山青较多。
管仲（清·田实发）	槛车不数尺，乃容天下才。时无鲍叔牙，霸术终焉埋。射钩弃旧怨，度量何远哉。人生贵知遇，安用悲蒿莱。
虞卿（清·田实发）　　押纸韵	抵掌易高位，簦屩匪所耻。故友中夜来，赵相若敝屣。著书常闭门，穷愁乃可喜。曰卿何如人，惜哉魏公子。
