忆父（清·蔡桓）　　七言绝句　押齐韵	小楼雨过灿虹霓，晓镜慵收晏启闺。愁倚窗棂苦吟望，白云遥在陕城西。
插瓶花有感（清·蔡桓）　　七言绝句　押麻韵	折枝皆可添瓶供，贵贱看来有小差。一夜繁英都落尽，紫薇不及马蓝花。
病中咏秋荷（清·蔡桓）　　七言绝句　押歌韵	出尘花品爱池荷，零落秋风可奈何。共羡莲房多结子，子多赢得苦心多。
