写兰石有寄（清·了亮）　　五言绝句　押皓韵	一片空山石，数茎幽谷草。写寄风尘人，莫忘林泉好。
松芝图（清·了亮）	悬厓一株松，经霜复经雪。倚涧五茎芝，日月精华结。生成栋梁材，品格自高洁。异草本灵丹，服之增颜色。援笔入丹青，足称两奇绝。
刈麦行（清·了亮）　　押支韵	来牟异地谷，种之在秋时。历冬复历春，刈当仲夏期。雨雪傥不足，荒芜致农悲。今年尚丰稔，始得疗岩饥。田家贵勤俭，天公不我欺。
