江南好 西湖（清·项纫）	西湖好，侵晓出春城。花片片飞三月雨，柳荫荫处一声莺。人在画中行。
减字木兰花 西湖怀古（清·项纫）	宫车晓趱。全宋山河输一半。安稳杭州。回首中原唱莫愁。西湖花月。云里帝城双凤阙。多少官家。雨冷冬青咽暮笳。
捣练子 送春（清·项纫）	花带泪，柳含颦。风雨无情只送春。一片杜鹃啼不住，伤心多少倚栏人。
木兰花慢 咏蝶（清·项纫）	整翩翩粉翅，愁燕子莺儿。向细草阑干，游丝庭院，双宿双飞。腰肢瘦来一搦，爱红香影里镇相随。花底可怜踪迹，梦中何处天涯。深闺风景正芳菲。长自傍帘帏。早倚窗人见，绣上罗衣。依依似嫌春晚，更几番、萦绕绿杨枝。忍把泥金小扇，等闲追过墙西。
