织布（清·董天工）　　七言绝句　押先韵	斲木为机似月圆，横穿翠筱夹丝缠。掺掺巧织戈纹锦，斑驳争绔柿蒂鲜①。
口琴（清·董天工）　　七言绝句　押侵韵	宛如私语夜深深，别样丝桐别样音。齿颊低微音韵渺，雄鸣雌和月轻阴①。
布床（清·董天工）　　七言绝句　押寒韵	何事番儿不畏寒，布床高挂桠枝端。风吹木叶声萧瑟，好似婴孩熟睡残①。
走差（清·董天工）　　七言绝句　押阳韵	状似捲荷四寸长，手环相击响丁当。不疾不徐音铿尔，远韵清微胜鼓簧①。
台卉四绝（清·董天工）　　七言绝句　押青韵	飘然玉质森森秀，别有幽香到小庭。不用娇容教傅①粉，逢君一见自娉婷②。
仙丹（清·董天工）　　七言绝句　押先韵	一朵烿云物外仙，丹珠累累映霞鲜。漫言黄母鬓花落，移种东山处处妍①。
