题浔阳送客图（清·许燕珍）　　七言绝句　押尤韵	月冷风清两岸秋，琵琶一曲感江州。天涯不少无情客，岂独商人重利游。
古镜（清·许燕珍）	斑斑绿绣土花蚀，首山之铜鬼工凿。背铸篆籀人不识，持向九天问苍颉。云是汉时波祗国中物，森森寒气侵两眸。石破云缺天雨秋，莫悬高台最上头。肝胆照见秦女愁，又惊山鬼魑魅啼啾啾。
念奴娇 新柳（清·许燕珍）	桥边陌上，看如画一抹，层层绿绮。轻暖轻寒时最好，荡飏碧波新水。嫩叶梳烟，软条掠雨，细细丝难理。瘦腰半捻，如何载得春起。最爱柔态纤盈，向人绰约，摇曳欺桃李。寒食未过刚二月，小似簸钱年纪。别馆休攀，离亭莫折，留取东风里。谁吹羌笛，有人愁正无已。
