寒食（清·薛琼）　　七言绝句　押先韵	一样莺花二月天，饧箫声里兴萧然。三旬九食吾家事，不独今朝是禁烟①。
南歌子 慰闺人病起（清·薛琼）	雀舌难消渴，虾须不闭寒。落花风起更尖酸。薄薄罗杉休傍、小阑干。煮药忘寒食，薰香犯禁烟。乍晴门巷卖饧天。检点精神同步、看秋千。
南歌子（清·薛琼）	嫩雨消残暑，哀蝉噪夕阳。一夕寒吹扑空廊。剪剪轻罗侥幸、试新凉。竹坞玲珑碧，荷亭缥缈香。水晶为枕玉为床。放下帘钩随意、梦潇湘。
小重山 晓过山塘（清·薛琼）	晓风吹我过山塘。山藏烟霭里、影微茫。红阑翠幕白堤长。轻舟动、人在画中行。满路斗芬芳。携筐争早市、卖花忙。家家楼阁试新妆。拈鲜朵、点缀鬓云香。
相见欢 赠吹箫女子（清·薛琼）	花枝灼灼难描。正垂髫。家住绿杨津畔、跨红桥。眉峰秀。莺声溜。试琼箫。最爱猩唇轻破、小樱桃。
春光好（清·薛琼）	抛菱镜，罢晨妆。倚南窗。风洒桐花点笔床。彩毫香。梦里曾拈佳句，醒来更费思量。一半模糊思不起，系人肠。
望江南 二首（清·薛琼）	消溽暑，修竹荫轩槛。梅雨水烹茶嫩白，破砻米煮粥香清。调养避荤腥。
沁园春 同芥轩赋（清·薛琼）	利锁名缰，蝇头蜗脚，且自由他。幸瓶中鼠窃，尚馀粟菽，畦边虫食，还剩蔬瓜。随意盘餐，寻常荆布，无愧风流处士家。齐眉案，看鬓霜髭雪，渐老年华。何妨啸傲烟霞。喜到处、倘佯景物赊。且篮舆同眺，青山红树，蓬窗共泛，白露苍葭。出不侵晨，归当抵暮，稍有囊钱便买花。随儿女，各经营耕织，检点桑麻。
鬓云松 秋思（清·薛琼）	月微明，云罅漏。倦依屏山，斜衬罗衫袖。闲闷难消翻恨酒。瑟瑟西风，刮得霜林透。摘黄花，随意嗅。一种幽香，也为经霜瘦。花似愁人憔悴久。故故迟开，错过重阳候。
浣溪沙（清·薛琼）	拂晓花枝宿露凝。摘来朵朵滴红冰。参差浓淡称瓷瓶。照影流霞浸研水，倚风馀麝散溪藤。助人吟思十分清。
浣溪沙（清·薛琼）	睡思朦胧未易醒。风敲银蒜动帘旌。残花点点堕瓷瓶。揉碧烟中酣蝶梦，软红尘里媚莺声。恼人天气半阴晴。
鹧鸪天（清·薛琼）	五月家园花未疏。葵榴烂漫闲菖蒲。齿拈酸味尝青杏，甲染清香摘紫苏。耽午梦，懒照梳。挨延长日饭工夫。嗔予无过痴儿女，争系新与续命符。
江城子 乙酉同婶氏游吴门诸山，忆旧昔志慨（清·薛琼）	昔年握别记匆匆。柳阴中。一帆风。两岸青山、相映淡眉峰。往返难忘芳草路，归去也，夕阳红。哪堪今日倚楼东。与谁同。暮云空。怊怅姮娥、独赴广寒宫。梦到家山山更远，寻不出，旧游踪。
添字浣溪沙（清·薛琼）	绿遍荼蘼水拍天。销魂桥畔拂轻烟。点点杨花点点泪，思绵绵。画舫载将离恨去，指寒呜咽弄冰弦。待得月斜云渐冷，未成眠。
如梦令 梦到故园（清·薛琼）	重过旧时绿野。再启竹西书舍。曲涧冷清清，流水落红轻泻。去也。去也。月挂凄凉台榭。
梧桐影（清·薛琼）	月欲斜，风偏冷。秋思邻家分得来，隔墙移过梧桐影。
蝶恋花（清·薛琼）	纤月穿帘深院静。萧瑟疏桐，搅碎瑶阶影。不禁晚风吹梦醒。枕痕红晕钗重整。香烬画栏还独凭。才喜新凉，又早添秋景。唧唧蛩声吟漏永。银河一片烟光暝。
