寄坚香弟都下（清·姚前枢）　　七言绝句　押微韵	燕台五载惜分飞，芳草西堂旧梦违。便著旧时衣也得，古来昼锦几人归。
石梁观瀑歌（清·姚前枢）　　押阳韵	昙华亭上风浪浪，昙华亭下波汤汤。石梁一线亘绵邈，铜殿铜塔遥相望。跳波激浪息万籁，飞泉淜湃调笙簧。似嫌水势太平直，中流故遣山屏当。山石搏水水愈怒，奔腾偏与山低昂。何年猛士拔剑刺，山裂倾翻万顷玻璃浆。不然卷起天河倒泻地，明珠碎玉滚滚随银潢。耳聋目眩魂魄悸，仿佛神仙鸾凤参翱翔。我欲乘风振袂起，抛撇下界驱神羊。洞天卅六遍历访，药炉丹灶求真方。天风吹我衣凉，瀑溅我裳。同游促归去，四顾心徬徨。山灵笑我志不决，俗骨未化徒自狂。飘然撒手下大荒，栖真何日寻仙乡。
拜经台（清·姚前枢）　　押梗韵	去天尺五高，世外得奇境。插脚万山低，举头片云静。挺枝松尽虬，秃顶枫半瘿。龙目炯炯光，澄澈验双井。恐有神蛟潜，变化出俄顷。石屋辟磊砢，镫龛洁以整。枯僧不知年，尘缘久彻屏。老鹤为守门，露凉时一警。天风吹冥冥，岩花袭裾冷。空翠淡欲无，夕阳散遥岭。
