送外北上（清·谢瑛）　　七言绝句　押支韵	握手临行话别时，叮咛肠断泪如丝。从今凭仗三更梦，飞绕君前不暂离。
蝶恋花（清·谢瑛）	园丁报道生芝草。绫袜新裁，缓步苍苔早。弱女凝妆栏外绕。依依小子翻书考。白鹤巢松声韵好。桂子纷纷，竹影将阶扫。贪睡鸳鸯惊又觉。佳辰莫惜金尊倒。
渔家傲（清·谢瑛）	竹蓧悬藤岩挂瀑。药苗云润空山护。浅水芦花舟自俯。提壶过。哈然一笑乾坤大。野菜和根煮烂熟。山妻对酌休催鼓。长啸一声天未补。何须苦。不知尘世披云睹。
