闲中好 还书（清·陈世祥）	书空寄，阁着不开封。添上侬边泪，还君讶不同。
梦江口 即单调望江南。春尽（清·陈世祥）	春去罢，因甚却关情。最是柳丝长不了，何来燕子语偏明。怕要下阶行。
南乡子 倦（清·陈世祥）	重门深闭。细草如烟烟满砌。日长睡起独凭栏。看鸳鸯。双双飞去又飞还。
西溪子 不至（清·陈世祥）	留得暮云千叶。叶叶都成愁结。倚高楼，山凝碧。人独立。待不思量又忆。忆成痴。月明知。
如梦令 暮春（清·陈世祥）	听说暮春来到。不忍见花成草。欹枕问巫山，又被莺声唤觉。黄鸟。黄鸟。有个人儿烦恼。
如梦令 睡醒（清·陈世祥）	谁道客愁萧屑。偏有梅花交接。意味恁幽清，投向诗魂安贴。奇绝。奇绝。又是月光如雪。
如梦令 昨日（清·陈世祥）	花朵朵如人泪。一盏酒来竟醉。拼醉不教醒，看好时光都废。无味。无味。滑是一团疑谜。
如梦令 席上有赠（清·陈世祥）	听彻玉箫声里。字字雨云旖旎。醉眼艳层波，散作坐间霞绮。倦矣。倦矣。好向人怀便倚。
如梦令 客中（清·陈世祥）	才看桂花黄絮。待趁晚潮归去。真正没来由，便把冬春发付。还住。还住。又是紫薇一树。
如梦令 次梅木山夜坐韵（清·陈世祥）	钩月刺开云空。帘外紫薇影重。我也忆当初，听彻红楼狞凤。都梦。都梦。一样悄然情动。
天仙子 苦雨（清·陈世祥）	织尽雨丝难作匹。巡檐一鸟窥人立。不知天有几多愁，风恁劈。冷云积。应缘误发残花檄。
定西番 冬日敬亭宴集（清·陈世祥）	镇日楼头相对，铺月澹，着云轻。枕前横。踏向棱棱冰壑，水泉流暗声。三尺雏松剪剪，似雏僧。
长相思 郊行（清·陈世祥）	开花风。落花风。酒旗安顿小桥东。教人驻玉骢。一重溪。两重溪。弱柳遮藏曲曲篱。黄莺独自啼。
相见欢 再晤西若（清·陈世祥）	轻轻飏起娇红。小春风。迎到栏杆侧畔、出帘栊。敛眉语。携手步。意无穷。那时去也魂断、画堂中。
思帝乡 雨不止，逐阻郊游之约（清·陈世祥）	都休。留春春也羞。树树好花落尽，似清秋。怕向楼前望见，休教上玉钩。又是垂杨影里、叫鸣鸠。
思帝乡 归思（清·陈世祥）	归休。百花香欲流。正是浅红柔白，满汀洲。好去周旋芳草，风光到处收。莫待落花庭院、恼斑鸠。
醉太平 偶见（清·陈世祥）	珊珊玉钩。飘飘翠帱。倚栏觑见温柔。是谁家画楼。欲窥又羞。欲行又留。盼人频转清眸。怎教人不愁。
蝴蝶儿 春词（清·陈世祥）	蝴蝶儿。拂花枝。纱窗小女学新诗。拈来微咏之。倦则和花睡，双双似有私。相看陡地动人思。停毫不语时。
昭君怨 春阴久寄姑孰（清·陈世祥）	烟雨萧萧寒重。待盼青山成梦。梦里是离愁。古扬州。江水巫山云远。寸寸客怀如剪。莫要写新诗。晚来时。
女冠子 春日（清·陈世祥）	相思独自。不及双双燕子。镇相怜。花影勤催日，炉香懒续烟。梦中空有泪，镜里更无言。任他飞燕子，不开帘。
