杨柳（清·张逸藻）　　五言绝句　押沃韵	南浦多别离，行人去相续。杨柳不知愁，春风依旧绿。
秋夜（清·张逸藻）　　五言绝句　押尤韵	残灯摇瘦影，冷雨掩重楼。为有还家梦，翻添一段愁。
岸柳（清·张逸藻）　　七言绝句　押萧韵	千丝万缕不胜娇，空向风前舞楚腰。寂寂小桥人不到，和烟和雨弄春潮。
点绛唇（清·张逸藻）	枝上俱空，堆阶重叠花无数。榆钱满树。难买春光住。杜宇频啼，乱舞长空絮。风和雨。送春归去。毕竟归何处。
如梦令（清·张逸藻）	愁比乱丝常绊。心共芭蕉不展。屈指几分秋，落叶又惊秋晚。休算。休算。秋不抵愁一半。
浣溪沙（清·张逸藻）	倦眼慵开半未醒。云鬟低压玉钗横。朦胧扶枕不分明。破梦有声风着力，惜花留影月多情。夜深无语立银屏。
