移居日偶得小诗（清·周之琦）　　七言绝句　押微韵	旧宅移来柳一枝，连番膏雨助生机。可能身作桓宣武，看得腰支到十围。
临江仙（清·周之琦）	一架藤阴留不得，珠巢无处寻踪。绣衣著了抗尘容。向来殊落落，此别转匆匆。十载长安多胜侣，频番酒绿灯红。而今心事更谁同。秋怀纨扇月，春梦玉柯风。
瑞鹤仙 忆京寓藤花作（清·周之琦）	晓寒欺绣幕。过啼鴂光阴，离愁萧索。新词寄归鹤。奈书传阆苑，信音辽邈。纤枝翠络。料此际、垂垂绽萼。尽飘零、客燕天涯，长忆紫茸檐角。兰杓。浮红泛绿，摘艳吟香，与花同酌。华胥梦觉。赏心事，忍抛却。想闲庭多少，游蜂戏蝶，未肯襟期漫托。但年年、吹冷东风，自开自落。
木兰花慢 支机石（清·周之琦）	笋舆寻胜赏，讶神物、寄烟寰。想槎客携归，星娥赠与，仙骨珊珊。斓斑。艳称蜀锦，问七襄何似五云端。幻迹谁云可转，灵心好在无言。禅关。尚识孱颜。清露湿、翠屏闲。但怅望、吹笙迟回弄杼，梦冷银湾。相看。绛霄路迥，叹红尘沦谪几时还。回首珠宫玉宇，凄凉天上人间。
陌上花 薛涛井（清·周之琦）	高唐梦后朝云，留下楚台遗韵。一曲琴心，容易翠翘偷近。玉蝉金雀嬉游处，千古风流无尽。赋闲情、况有巴笺十色，待题幽恨。向回栏、更倚瓶沈信杳，且喜银床堪认。照影婵娟，谁似扫眉人俊。枇杷花落闲门闭，冶思空传兰讯。锦江春、付与楼阴修竹，几堆香粉。
永遇乐 成都武候祠（清·周之琦）	天设岩疆，井蛙亡后，形胜谁据。半壁经营，两朝开济，再世生伊吕。炎灵邈矣，讴思未沫，长诵大名千古。任辛毗、军门仗节，笑他畏蜀如虎。星芒骤落，降笺草草，拱手河山输与。邺下称尊，江东并列，史笔吾无取。锦官城外，云车风马，想像翠华来处。凭君看、荒陵咫尺，尚留汉土。
霜叶飞 伯兄之戚已更岁矣，笏侄自粤归汴，由汴来蜀，泫然赋此（清·周之琦）	素冠衔涕，重相见，伤心尘面憔悴。去年轻趁片帆风，送箭波长逝。甚浃月、珠江戾止。无端啼湿春鹃泪。但爱日庭前，且幸得、孤雏侍侧，馨膳聊慰。追念妙墨渊云，香名早饮，共说平步千里。盛筵烧尾只须臾，奈镜蓉空萎。叹寂寂乡园梦里，郊祁忍更论前事。听雁声、哀弦外，只影天涯，断魂谁倚。
祝英台近（清·周之琦）	选佳辰，携俊侣，重问草堂路。红萼无言，春色已如许。相看萝幌低垂，蕙烟轻飏，忽省忆、皇华人语。浣花句。同是沦落天涯，应教侍尊俎。团扇家家，不少瓣香处。须令翠羽声中，寒泉一盏，但遥指、城南韦杜。
玉漏迟 夜话尹竹农同年署斋（清·周之琦）	夜寒莲漏悄。纹疏静掩，铜荷低照。迅羽光阴，心事漫传青鸟。梦里长安片月，更愁里、天涯芳草。还自恼。云窗雾阁，庾尘谁扫。何处唤酒银釭，听小管清声，素弦凄调。艳冶追寻，争似寸笺吟好。计日东风破冷，又相对、春山一笑。芳信早。梅花几枝开了。
鹧鸪天 绵州道中（清·周之琦）	五见樱桃梦欲阑。蚕丛容易片云还。飞凫已觉天衢近，归骑安知蜀道难。凉意浃，露痕乾。不辞侵晓跨征鞍。轻衫小扇绵州路，瓦鼓听歌豆子山。
夜半乐 夜趋剑阁，中途大雷雨侵，晨始抵宿处（清·周之琦）	暮天畏景将下，轻阴城郭，催唤雕鞍去。到万笏尖峰，晚凉佳处。坏云渐展，狂飙骤发，片时丹嶂冥迷，绛河倾注。更迎面、砰轰震雷鼓。闇中磴道曲折，蚁磨惊旋，马蹄愁误。怕小小、篮舆山灵留住。乱流趋壑，崩厓转石，一肩稳载吟魂，等闲偷度。哓钟外、羊肠忍回顾。卧想今夕，犯险虚劳，快心终阻。行不得、空惭鹧鸪语。耐炎曦、休恨汗湿齐纨缕。还偻指、几日消烦暑。邵平瓜买青门路。
