辰山步虚词（清·陆观莲）　　七言绝句　押微韵	郁萧宴罢列仙归，彩凤青鸾各自飞。敕赐珍珠三百斛，满身璎珞绕天衣。
蒋湖寓园对月（清·陆观莲）　　押阳韵	青天挂明镜，辉光照我床。展转不能寐，起坐空徬徨。徬徨亦何为，日思我故乡。瓶斋旧隐处，乃在茜水阳。廿年几播迁，渺渺天一方。回思手栽树，橘柚徒含芳。安得生羽翼，摩天一翱翔。
宝剑篇赠外（清·陆观莲）	吁咄哉，荆卿剑术既不成，虽有宝剑徒空名。千年黯黯闭秋水，双匣渺渺埋龙精。狐狸夜鸣风雨恶，蛟螭昼舞波涛惊。我持此剑若明月，众星朗朗随其行。又持此剑若白日，群妖退走欃枪平。欃枪平，众星没，送君赠君君莫惑。古来遇合自有时，神物出处当知之。
念沈氏老姊（清·陆观莲）	昔闻桓山鸟，四海各分飞。念我同生子，四女相因依。辛苦效反哺，力尽心亦微。仲姊久长逝，泪落不可挥。所遗我三人，恋母愿空违。伯也失所天，忍死鞠孤儿。儿年近四十，与妇同分离。茕茕一孩女，遣嫁时来归。上堂问祖母，终朝无苦饥。嗟予季与叔，相见时亦稀。抚琴弹此曲，此曲声殊悲。
