月夜（清·陈淑英）　　五言绝句　押月韵	夜静倚阑干，声声柝未歇。举头忆远人，怕见团圞月。
附家书后（清·陈淑英）　　七言绝句　押寒韵	欲凭家信劝加餐，愁里题诗下笔难。为报课儿辛苦处，夜深镫火雨声寒。
春日归宁途中即景（清·陈淑英）　　押齐韵	流水出山远近，落花辞树东西。人从孤艇垂钓，鸟向斜枝乱啼。
