归字谣 春（清·张淑）	春。舞蝶歌莺淑景新。花飞减，肠断倚楼人。
古调笑 春晚（清·张淑）	春晚。春晚。人与燕莺同懒。小庭昨夜风过，红紫还怜谢多。多谢。多谢。剩有荼蘼迟嫁。
临江仙 春日，吴别驾乔夫人招游西湖，即席赋赠（清·张淑）	烟景东皇花柳簇，画船况泛西湖。湖心亭上即仙都。六桥山翠积，环绕镜中图。冠帔主人诗击钵，列钗竞倒琼壶。胜游四美足欢娱。晚钟何处起，明月又金铺。
满江红 题荫嘉弟乐圃吟钞（清·张淑）	阿大中郎，曾问字、琉璃砚北。埋玉树、招魂无计，阑干长拍。后起一时推作手，先灵九地应加额。看编珠，乐圃好吟钞，如椽笔。孤露苦，休于邑。腾达快，休疑惑。纵才人命薄，也如巾帼。佳句雕龙终寿世，浮名梦蚁空争国。只愁予，进士浪相夸，难为役。
酷相思 忆慧贞、慧珠二女（清·张淑）	苦雨凄风秋欲暮。正触起、离愁绪。少音信、飞鸿天际度。长女也、迢迢路。次女也、迢迢路。料得停针抛绣谱。望亲舍、新诗赋。问何日、归来同首聚。长女也、喁喁诉。此女也、喁喁诉。
