明月斜 夜坐（清·董元恺）	篆烟红，泪花绿。银汉迢迢堕入怀，黄河万里响心曲。
闲中好 别意（清·董元恺）	闲中好。别意生庭草。含泪向窗纱。残痕照落花。
南歌子 闺怨（清·董元恺）	侬取冰为枕，侬持檗作衾。一夜苦寒侵。五更天欲曙，涕淫淫。
三台令 洞庭杂兴（清·董元恺）	万顷平湖似镜，千峰列嶂如环。处处倪迂范缓，家家雾髻云鬟。
摘得新 闺思（清·董元恺）	烛灭时。思郎泪暗垂。相思谁与共，月明知。月明照出相思字，是郎诗。
荷叶杯 闺夜（清·董元恺）	捲起一帘清景。孤影。小胆怯空庭。乱竹萧萧响画屏。听么听。听么听。
花非花 古意（清·董元恺）	黄檗篱，合欢树。树成蹊，篱当户。侬身不共合欢时，侬心偏见生离苦。
南歌子 闺绣（清·董元恺）	螺笔描新样，金针倚绣床。深情却悔绣鸳鸯。绣出无情蛱蝶，又成双。
望江南 啜茶十咏（清·董元恺）	茶坞胜，阳羡郁层峦。月峡涧流生雀舌，石岩雾晓出龙团。仙掌片峰寒。
字字双 欢情（清·董元恺）	一枝容膝安复安。金风玉露寒复寒。连呼侬字欢复欢。欢情如月看复看。
潇湘神 四女祠（清·董元恺）	四女祠。四女祠。白发红颜未嫁时。但使宁亲成孝子，不愁天下少男儿。
一叶落 秋忆（清·董元恺）	一叶落。伤漂泊。寸心万里阑干角。天边望断鸿，枝头问灵鹊。问灵鹊。几度浑如昨。
捣练子 和内寄原韵（清·董元恺）	愁脉脉，水盈盈。握手临歧无限情。揾着啼痕双袖泪，笑从花里送郎行。
忆王孙 江上（清·董元恺）	一江江水阅兴亡。花月春江事渺茫。江上风吹雁两行。泪沾裳。江北江南总断肠。
归自谣 归梦（清·董元恺）	东风急。携手罗帏情脉脉。分明悄语莺花夕。梦回依旧关山隔。空相忆。春云遮断春归迹。
转应曲 送别（清·董元恺）	相送。相送。门外远钟残梦。千山万水郎程。一夜五更月明。明月。明月。偏是照人离别。
望江怨 闺怨（清·董元恺）	春云晚。妾泪朝朝长在眼。影动湘裙展。平湖绿水明如剪。难消遣。一夜正愁深，东风忽吹浅。
如梦令 梦后（清·董元恺）	枝上啼鹃如诉。唤起离愁无数。曲径古云深，隔岸梦中来路。回顾。回顾。月约花阴西度。
定西番 春暮，集唐词（清·董元恺）　　押阳韵	隐映画屏开处，莺对语，蝶飞狂。惜韶光。罗袂从风轻举，波影满池塘。高捲水晶帘额，衬斜阳。
相见欢 鸳鸯（清·董元恺）	珍禽两两回翔。狎芳塘。惹得多情儿女，绣罗裳。嗔伊并，惊伊散，忽分行。刚到荷花深处，又双双。
