中秋前一日雨中泛舟诣学耕堂晤黄荛圃即题其梅花吟卷（清·钮树玉）　　七言绝句　押文韵	万重花气压春云，一片瑶光恋夕曛。旧梦不离香雪海，绝怜伴侣邈难群。
婴桃瓦当歌（清·钮树玉）　　押先韵	婴桃转舍最后出，甘泉平乐纷流传。懈予昔箸新附考，谬以含鸟笺青编。婴之为义乃言小，当春特荐登豆笾。木旁增益起后世，转使正义生缠牵。陈君一跋特明畅，扫除异说归真诠。斲冰积雪临岁杪，故乡景物偏流连。灵威大文不可见，韩陵片石频磨研。古来篆籀日漫漶，赖有金石余雕镌。幸矣斯器藏大雅，岂令过目同云烟。
感兴（清·钮树玉）	古人成一艺，心力为之瘁。苟欲徇人好，岂能臻绝诣。汲汲夸毗子，于旨本无会。目此自矜奇，徒增识者喟。
