赵嘏宅（清·黄达）　　七言绝句　押真韵	才名继起已千春，还说枚皋宅畔邻。我向秋风闻弄笛，不知谁是倚楼人。
秦山望海歌（清·黄达）	祖龙雄心控八极，车辙欲穷神禹迹。驱山直到海东头，千载犹传驰道直。一卷矗立张溪滨，登临咤叱惊鬼神。阿房已烬陵隧毁，至今山姓犹称秦。我来正值秋风发，万里沧波坐超忽。扶桑若木望依稀，鳌掷鲸呿纷出没。古今何事无变迁，几回海水成桑田。高三过五竟安在，惟有寒潮去复还。
书文信国集后（清·黄达）　　押侵韵	泣闻哀诏度湖阴，空振军门战鼓音。王气已从南海没，累臣漫对北风吟。出师慷慨隆中略，击楫飞腾江上心。一同木终难支大厦，厓山遗恨至今深。
