寄外（清·傅梦琼）　　七言绝句　押真韵	家山烽火路艰辛，红豆相思梦最真。临别赠言君记否，春来莫作未归人。
夜坐（清·傅梦琼）　　七言绝句　押庚韵	新月如钩半未明，楼头忽听玉箫声。春光满目无游处，一片烽烟绕郡城。
送杨剑昙先生北上（清·傅梦琼）　　七言绝句　押支韵	风雨潇潇又别离，残绒唾上柳丝丝。蓬莱七字他年约，先绣天涯感旧诗。
