甲子兰记（清·萧竹）　　七言绝句　押尤韵	遨游台地已三秋，觅尽山川何处求。步向兰中寻一吉，罗纹交贵水缠流①。
阳景三绝（清·萧竹）　　七言绝句　押先韵	石峡朝天景秀妍，高峰玉笋插云烟。遥看雪浪飞千尺，秋色淩空水接天①。
阳景三绝（清·萧竹）　　七言绝句　押庚韵	龙潭碧水玉壶清，印得秋空两月明。百里江山如画稿，青岩蓝影尽含情①。
阳景三绝（清·萧竹）　　七言绝句　押删韵	孤峰独耸接云间，砥柱中流岂等閒。日月每从眉上过，乾坤祇在海中山①。
兰中番俗（清·萧竹）　　五言排律　押歌韵	遍履兰中地，番庄卅六多。依山茅盖屋，近水竹为窝。众怪疑魑近，心顽奈石何。往来皆佩剑，出入总操戈。酒醉欣摇舞，情欢乐笑歌。尊卑还可爱，男女实难讹。八节无时序，三①冬亦暖和。未能传五教，咸晓四维摩（许俊雅编校）。
