捣练子 春晓（清·沈佩）	花露重，莫凭栏。楼上新妆怯晓寒。啼鸟数声惊梦破，却教愁思上眉端。
点绛唇 寒食（清·沈佩）	柳外莺啼，帘垂满地梨花碎。东风无赖，吹得人憔悴。村舍烟稀，草色青青路。寻芳去。子规声沸。却被愁牵住。
点绛唇 萤火（清·沈佩）	素影翩翩，池塘雨过明如霁。乱飘香砌。几点星光细。露冷风轻，寂寂重门闭。更深矣。照人无寐。独伴寒蛩语。
浣溪沙 春去（清·沈佩）	杨柳丝丝系玉骢。杜鹃啼处晚烟浓。春光遍逐水流东。满院落花愁寂寂，一帘飞絮恨匆匆。无聊最是月明中。
卜算子 元夜（清·沈佩）	台馆遍笙歌，又是黄昏后。寂寂梅花小院开，报道春依旧。梦断月初斜，素影清如昼。光景年年一样新，且放眉间皱。
菩萨蛮 晓妆（清·沈佩）	迟迟日影穿窗罅。晓寒人在重帘下。临镜独徘徊。低头学画眉。钗横双燕小。蝉鬓云缥缈。妆罢步闲阶。海棠开未开。
巫山一段云 春闺（清·沈佩）	烟柳迷深院，春风袅翠鬟。锁窗人静意阑珊。飞絮满雕栏。几点昏黄雨，吹残烛影寒。停针无语又更阑。独自倚楼看。
南柯子 新秋（清·沈佩）	枕簟清无暑，波纹静欲流。微云过尽雨初收，正是晚凉时候、似新秋。香烬金猊冷，风轻翠影柔。谁家砧杵度南楼，又是一湾斜月、挂银钩。
醉春风 春睡（清·沈佩）	弱柳遮芳径。帘垂深院静。倚栏无语日长时，病。病。病。燕子来时，莺儿啼处，绿柔红嫩。小阁炉烟烬。睡起人犹困。隔墙何处卖花声，恨。恨。恨。午梦未舒，轻风乍起，落花成阵。
江城子 月夜闻笛（清·沈佩）	银河黯淡碧于流。数更筹。晚烟收。倚遍栏杆，无语思悠悠。何处画楼吹玉笛，惊客梦，动离愁。鬓云斜亸玉搔头。月光浮。上帘钩。丹桂凝寒，素影弄轻柔。试问闺人知也未，风乍度，便悲秋。
南乡子 雪夜独坐得飘字（清·沈佩）　　押萧韵	帘外雪初飘。翠幌香凝火未消。独坐夜寒人欲倦，迢迢。梦断更残倍寂寥。楼阁遍琼瑶。庭树纷纷玉作条。林外梅花应放也，萧萧。香过寒溪第几桥。
