鹳鹊楼（清·乔光烈）　　七言绝句　押尤韵	何处西风鹳鹊楼，烟沙萧瑟满汀洲。人间俯仰成千古，到海黄河日夜流。
栈道木偏桥易构以石俾安固永久（清·乔光烈）	平时架飞梁，伐木跨危栈。往来虽藉通，风雨亦多患。常苦摧颓易，𨻄阢骇相践。岁时劳工徒，修役连夕旦。何如计其安，坚脆易所便。因之琢山骨，结构法初变。庚庚复坦坦，漂摇幸无荐。车马秦蜀交，虹蜺度天汉。纪事成此章，所期久安晏。
霍山（清·乔光烈）	太岳记《禹书》，霍为冀州镇。中央惟土德，极并嵩华峻。积厚恣蟠薄，元气富宣蕴。仰观何轩昂，腾霄意不尽。青排与翠竦，峰岭擢戈盾。苍紫障日回，凌标冠霞近。神灵閟杳蠖，秩祀严荐晋。尚闻竹节书，使者去方迅。于今配侯伯，福物道无吝。功美云雨施，岁被千里润。歌诗展然作，庶用备赞傧。
夏县谒司马温公墓（清·乔光烈）　　押阳韵	条山苍苍河水黄，大贤钟毓非寻常。儿童走卒识君实，至今青简生辉光。天将元老资有宋，范韩文富道继昌。公乎正色发伟议，伊训说命同敷扬。传闻中国相司马，辽人拱手戢朔方。奈何功德未及竟，凤凰忽逝麒麟藏。转使奸回窃国柄，碑刊元祐覆纪纲。当时墓碑题御笔，清忠粹德昭炜煌。钜手万言勒神道，学士振藻铿琳琅。一朝被谗忽摧毁，马鬣空见斧与堂。墓门闭向六百载，公名自共河山长。整冠下拜瞻且肃，松柏声入清风香。
