思亲（清·胡云琇）　　五言绝句　押阳韵	望远人千里，思亲字两行。休因怀弱女，憔悴鬓成霜。
有悼（清·胡云琇）　　七言绝句　押先韵	一现昙花二九年，飘然撤手判人天。玉楼想少修文字，召去人间旧谪仙。
怀诸弟（清·胡云琇）　　七言绝句　押先韵	鸰原一别怅经年，海峤苍茫别绪牵。今夜西楼明月好，几人联句斗清妍。
