望江南（清·王荪）	春睡足，醒着怕思量。一曲琵琶魂缥缈，五湖烟水月微茫。珍重话萧郎。
长相思（清·王荪）	见时羞。别时愁。两次三番不自由。教侬怎罢休。倦梳头。怕凝眸。明月光中上小楼。摄山红叶秋。
清平乐 柳絮（清·王荪）	柳丝何意。百尺闲垂地。收拾春光都是你。只有春愁还系。小桥流水无声。和云和雨分明。不愿生同舞絮，如何死化浮萍。
南乡子 闺情（清·王荪）	莺语正从容。杜宇无端叫落红。倚遍栏杆闲一角，重重。江外千峰与万峰。锦字泪痕封。待欲传他没便鸿。风自掀帘云且住，濛濛。细雨楼头润晚钟。
沁园春 春草（清·王荪）	才过冰霜，天涯雨润，挹染轻尘。绕长堤曲岸，愁烟迷雾，故宫荒榭，怨绿凝云。最是年年，送人南浦，一唱阳关黯断魂。凄凉景，况邮亭去马，踏遍蹄痕。青青。不见王孙。有几处江头泪未匀。更碧砌闲来，香侵绫袜，瑶阶散步，色染罗裙。低唤丫鬟，忙寻台榭，拔得柔苗种种新。消清昼，共双双姊妹，赌向花茵。
