夜泊青县（清·常青岳）　　七言绝句　押尤韵	天光云影漾中流，岸柳重重隐戍楼。双棹舞风翻细浪，蒲帆夜半落清州。
马厂访萧千戎夜话（清·常青岳）　　七言绝句　押灰韵	良朋官廨傍河隈，踏岸相寻特地来。日暮不烦烧绛烛，酒樽好对月明开。
兴济（清·常青岳）　　七言绝句　押歌韵	古县荒凉枕卫河，客舟泛泛此经过。会川风景犹堪记，一带长堤绿柳多。
