捣练子（春寒）  见《众香词》（清·纪松实）	花渐放，睡初浓。啼鸟枝头啄小红。拈笔欲消春昼永，冰花还在石虚①中。
画堂春（清·纪松实）	秋来正好醉秋光。如何忽理征裳。黄花十里马蹄香，飞过雷塘。囊借白云妆点，梦随红叶飘扬。高堂从此日相望，早整归装。
秋波媚（望湖）（清·纪松实）	万顷清流接碧空。帆影有无中。平沙宿鹜，微云飞雁，点缀天工。垂纶人在烟波里，潇洒对秋风。只应无累，何须出险，不哭途穷。
鹧鸪天（清·纪松实）	杨白花飞小苑幽。春残绕屋卖风流。来时只有风知信，滚地癫狂未肯休。沾翠幌，点朱楼。纷纷晴雪使人愁。深闺鬒发偏相昵，少妇惊心吟白头。
鹊桥仙（闰七夕）（清·纪松实）	夷则还逢，鹊桥再驾，潋滟银河待渡。人问遥望七襄云，竟两度、锦机罢御。练拖秋水，帷钩新月，却认得、重来路。柔情不断似前宵，相逢更觉相思苦。
虞美人  见《金陵词钞》（清·纪松实）	井梧簌簌飘黄叶。露湿寒螀泣。炎天日日盼秋风。怎到秋来萧瑟、更愁侬。凭高几度空怀远。摇落情何限。断蓬心事有谁知。除向天孙相诉、有怜时。
