月夜（清·陈家庆）　　七言绝句　押寒韵	横笛高楼夜已阑，满襟风露过长干。碧城十二清于水，只恐嫦娥不耐寒。
银塘看白荷花（清·陈家庆）　　七言绝句　押文韵	风摇环佩月裁裙，修到今生住水云。水上三千花姊妹，宜人都道不如君。
自遣二首（清·陈家庆）　　七言绝句　押删韵	悔从阆苑到人间，梦里依稀自往还。弱水他年如有力，愿浮花片返蓬山。
永遇乐·望乡（清·陈家庆）	天抹斜阳，雁横秋水，暝色如许。万里苍烟，十年乔木，故国渺何处。蓬莱清浅，鱼龙都尽，苦被何人相误。旧山川、城郭犹在，化鹤几时归去。流光暗度，芳华未泯，病里又逢秋暮。红叶萧萧，青山隐隐，认得潇湘路。天涯羁客，几度含愁无语。叹禾黍、凄凉遍野，有谁作赋。
夜合花·己巳二十五岁初度，寄清畹诗姊（清·陈家庆）	蝶粉沾衣，燕泥落几，闲来细步兰房。花雨缤纷，薰风吹送微香。惊逝水，惜流光。叹客中、易误年芳。暗寻思处，珠楼话月，玉砌追凉。十年一梦他乡。祗麻姑东海，几见沧桑。登临万感，江流曲似回肠。歌宛转，调凄凉。看九天、飞坠琼章。故人天末，凭谁寄语，云水相望。
清平乐（清·陈家庆）	檐花细落。闲却秋千索。一片新愁何处着。凄断晚风帘幕。依稀暗柳藏鸦。归心梦绕天涯。几度高楼横笛，江城吹落梅花。
多丽·黄鹤楼怀古（清·陈家庆）	暮山青。汉阳烟树冥冥。对楚天、沧波无际，似闻鼓瑟湘灵。白云飞、昔人何在，黄鹤去、仙梦都醒。泪洒西风，情深故国，每因怀古感飘萍。自江上、梅花吹落，玉笛那堪听。空留得、鸦横落日，水满寒汀。对千古、兴亡历历，祗余一角危亭。浪花深、英雄淘尽，关河老、风物凋零。帆影依阑，钟声送客，隔江渔火正星星。又独立、晚风无语，玉兔涌沧溟。关心处、画中楼阁，屐齿曾经①。
解连环·依清真韵寄怀馥姊（清·陈家庆）	芳心难托。自绿波春去，素心人邈。倩玉箫、吹起冰魂，正四绕兰丛，步流蘅薄。水样韶华，怎禁得、几番离索。对琼楼玉阙，懒共嫦娥，暗窃仙药。江洲满采杜若。怅所思不见，空忆天角。念谢娘、咏絮多才，看秀句瑶笺，可曾闲却。满树繁英，喜犹似、旧时红萼。望今宵、暮帆远浦，潮生月落。
水龙吟·慎予女士招饮翊教寺看海棠，并观南湖居士所藏书画泉布（清·陈家庆）	东风又到长安，禁城三月春如绣。香车宝马，风流裙屐，好花时候。如此江山，无边岁月，客怀消受。看海棠树树，冰肌胜雪，通明殿，不须奏。萧寺斜阳一角，任幽人、支鸡杯酒。飘然来去，几回吟眺，画中携手。法物收藏，书城坐拥，让他耆旧。更殷勤写入，生绡尺幅，作莲台寿。
好事近·雪（清·陈家庆）	何处雪飞来，惊起满天风急。极目两三鸦点，向寒林飞入。小窗无语独徘徊，却讶树头白。料得梅花有讯，报故园消息。
浪淘沙·寄姊（清·陈家庆）	何处望神京。客里零星。行行无计惜芳春。断尽离肠谁会得，负却叮咛。笳鼓动高城。又听边声。天涯有泪落纵横。消息平安烦报与，以慰平生。
清平乐·冬尽日（清·陈家庆）	寒侵翠袖。且尽新醅酒。姑射仙人如我瘦。可忆风神依旧。鸭炉香袅微温。能消几个黄昏。又是春光到眼，画图换却乾坤。
瑶华（清·陈家庆）	又逢令节。春到今年，渐上林花发。江南江北垂杨远，想东皇笑靥。樽前新感，怕转眼、繁花都歇。几番绿转黄回，误了西园蜂蝶。自怜幽独无言，怅客里、光阴流淌，玉箫愁绝。飘裙路渺，正此际、千里万山初别。碧云暮冷，奈闲却、珠楼明月。叹飞琼、误入人间，往事从头休说。
水龙吟·长江舟次大雪（清·陈家庆）　　押屑韵	他乡岁晚遄归，客途千里风兼雪。沧江水碧，远峰头白，空冥奇绝。鸥鹭回翔，鱼龙曼衍，怒潮呜咽。向暮云天半，舵楼闲倚，登临意，和谁说。太息金瓯碎缺。好山川、几人豪杰。楚天何处，寒鸦数点，思深愁结。玉树琼楼，望中多少，幻云明灭。问红桑劫后，尘扬几度，到今时节。
夜合花·晚香玉，和草窗茉莉韵（清·陈家庆）　　押阳韵	玉骨无尘，冰肌胜雪，汉宫捧出新妆。月明似水，仙人乍试兰汤。晚飔逗出微凉。正云屏、静对幽芳。红衣夏老，黄花秋晚，谁与争香。天街夜色昏黄。曾记婵娟三五，结伴徜徉。钗梁嫩萼，鬓边娇影难忘。梦中纷坠银床。看枕函、多少风光。美人头上，才人笔底，都费思量。
徵招·寄怀旧京诸姊（清·陈家庆）	清游回首长安远，吟怀都损愁抱。西北上高楼，何人凭远眺。垂杨应自恼。对斜阳芳草。十载江关，千秋词赋，误人多少。烟水又南朝，苍茫外、醉拍栏杆一笑。呼起几征鸿，寄裁红旧稿。蕉窗听雨好。知甚日、巴山重到。隔千里、明月娟娟，奈寸心如捣。
水龙吟·题刘子庚师噙椒室填词图（清·陈家庆）	月明笙鹤遥天，素琴弹出幽兰谱。玉台魂断，银屏梦冷，哀蝉重赋。秋雨闻赋，春波弄影，碧城何许。怎灞陵桥畔，西风残照，多半是，悲来处。莫说龙飞凤翥。好江山、可怜笳鼓。凭栏试望，莼鲈故国，杜鹃心苦。白社联吟，黄垆载酒，鬓丝无数。愿苍天留得，巍然一老，作词坛主。
临江仙·寄怀珍姊（清·陈家庆）	镇日心情如水淡，抱琴独倚兰房。仙家风度自清狂。荷衣蕙带，难学入时妆。长记驿亭分手处，笛声吹碎离肠。海天相望莫相忘。生花笔底，应记好诗囊。
一萼红·游后海归，赋此（清·陈家庆）	揽芳洲。正湖山歌舞，玉笛出琼楼。法曲绕梁，仙娥绝世，可堪前代风流。阅多少、繁华兴废，祗蓬瀛、清绝照人愁。金粉飘残，霸图零落，往事悠悠。荒径徘徊不语，看雕梁絮燕，细草眠鸥。碧海凝尘，红兰泣露，空叹时序沈浮。莫负他、水天良夜，倩何人、吟赏话清游。为惜芳华易谢，欲去还留。
满江红·寄怀同盟诸姊（清·陈家庆）	天上星娥，曾共我、云窗惜别。湘帘下、几回低语，客愁难说。彩笔拈来春在手，清标记得人如月。叹江山、灵秀属蛾眉，真英绝。阳关道，歌三叠。衍波纸，词一阕。算相逢、又对到别离时节。道韫有才传锦句，飞琼和泪辞仙阙。待何时、樽酒共论文，霏冰雪。
