敬和灵岩山人惜春词（清·张绚霄）　　七言绝句　押支韵	连日几无痛定时，撩人事事总堪思。胆瓶石竹花才放，犹忆生前手插枝。
浪淘沙（清·张绚霄）	天上月初圆。人去游仙。珠玑付与枣李镌。绣口锦心前世种，尽足流传。翰墨有良缘。酬唱频年。挑灯惆怅不成眠。云帔霞裳何处也①，碧海青天。
连理枝 和朱屿谢惠并蒂菊花韵（清·张绚霄）	绕径秋容静。却喜花开并。倚槛频看，抛书欲问，自饶佳景。迟赏音、邀月品寒香，对双双瘦影。位置清虚境。不怕霜来屏。陶令篱荒，罗含宅冷，梦遥乡井。剩一丛、嘉种好徵诗，赠司马总领。
