绝命词（清·郝湘娥）　　七言绝句　押先韵	一妇何曾事二天，今朝遄死赴黄泉。愿为厉鬼将冤报，岂向人间化杜鹃。
江南采莲曲（清·郝湘娥）　　押阳韵	采莲乳妇小花香，罗袖新裁半臂长。为羡滩头交颈睡，戏将荷叶罩鸳鸯。
清平乐（清·郝湘娥）	帘钩双控。时有熏风送。恼杀禽声宛转弄。惊破午窗残梦。分明薄幸回家。醒来依旧天涯。且莫轻抛珊枕，再从梦里寻他。
清平乐（清·郝湘娥）	鹅黄柳色。一抹烟如织。倚遍南楼莺语寂，又是暮山凝碧。忽闻女伴相邀。踏青准拟明朝。单少绣花鞋子，呼鬟连夜双挑。
