祖母命题菊花（清·智生）　　五言绝句　押阳韵	帘暮暗生香，奇葩胜艳妆。不随秋草萎，独立傲繁霜。
春日风雨（清·智生）　　五言绝句　押微韵	何事催春去，残红逐雨飞。飘风无处所，来岁可能归。
宫词（清·智生）　　七言绝句　押灰韵	长信宫中侍宴来，玉颜偏映夜光杯。银筝弹罢《霓裳曲》，又报西宫侍女催。
夏词（清·智生）　　七言绝句	炎威天气日偏长，汗湿轻罗倚画窗。蜂蝶不知春已去，又衔花瓣到兰房。
咏雪（清·智生）　　七言绝句　押麻韵	霏霏玉屑点窗纱，碎碎琼珂响翠华。乍可庭前吟柳絮，不知何处认梅花。
