齐河道中（清·许尚质）　　七言绝句　押歌韵	辟尘风镜隔轻罗，赢得征衣岳色多。七十二峰都阅遍，又乘疲马渡齐河。
题导山庵壁（清·许尚质）　　七言绝句　押微韵	四月山中笋蕨肥，松寮白画雨霏霏。浮生似记重来处，树老无枝僧挂衣。
下华顶复至断桥观瀑（清·许尚质）　　押遇韵	凌晨陟危磴，山势莽回互。攀萝坠岩石，触趾还局步。侧身烟霭间，却立屡惊顾。前行踵已没，循迹如蚁附。缘崖忽复暝，孤悬一线路。下瞰老蛟窟，白日雷霆怒。神物有隐见，洪波无寒冱。匿景就盘曲，蹒跚生恐怖。倏同飞鸟翻，云向恶溪渡。巨石恣偃蹇，奔流疾相赴。褰裳涉逾午，晞发聊延驻。不闻人语声，但觉雨如注。遥空垂赤虹，中断不得度。知是古仙人，戏游博幽趣。俄看万里云，六月生寒雾。倒挂枯松枝，喷薄失朝暮。直下几千仞，石窦巧嵌护。圆壶束细腰，明珠落无数。疑有鲛人泣，似向真宰诉。造幽荡魂魄，发兴抒情愫。愿结丹崖盟，庶脱尘网误。
