山行（清·胡友梅）　　七言绝句　押麻韵	两三茅屋是谁家，门外参差绿树遮。樵客归来春日暮，抬头时见杜鹃花。
睡觉（清·胡友梅）	清簟晚睡觉，啼鸟喧我屋。出门看夕阳，冥色在修竹。山空寂无人，懒云已早宿。萧萧天气凉，随意坐苔绿。堕地铿有声，幽林松子熟。
三叠泉（清·胡友梅）　　押翰韵	五老骨瘦峭，箕踞窥天半。群峰互相从，俪立各傲岸。中间一缝坼，飞瀑下碧汉。三叠始到地，疑是玉龙窜。雷霆日夜随，轰轰势凌乱。云净练孤悬，风激珠四散。峭壁含阴森，盘涡泻浩漫。山灵命严扃，屏嶂交卫捍。险巇横礌硌，结纠蔽丛灌。危步足生茧，暂坐背息汗。泠然肺膈清，耳目匪常玩。奇境未梦见，平生兹游冠。
