苦雨（清·马士琪）　　七言绝句　押鱼韵	阶前时复见游鱼，不断愁霖密复疏。触处墙倾兼屋漏，有人夜起护残书。
天竺寺（清·马士琪）	三竺深始佳，妙香静空谷。无量人天供，至此心神肃。在昔闻兵火，兹山未沈陆。若非龙象力，何以感群族。出门望层峦，回向古道场。云日递隐见，岩壑易阴阳。别院通危桥，涧曲声琅琅。万木拥寒阁，千镫照回廊。澄怀此晏坐，摄受言可忘。
将进酒（清·马士琪）	文犀光射琥珀微，客为主寿云懒归。此时举觥胜千日，噀酒使我花枝肥。天桃未落春已老，驱车疾走扬州道。
