南乡子 题张师母浦夫人《停梭词》（清·王瑗）	花艳丽。月清幽。停梭句自锦心抽。天上张星推妙笔。夫人亦。传向词林真合璧。
一斛珠 题金陵闺秀欧白神琼仙零翠（清·王瑗）	瑶台返速。弄人造物情何酷。一编零翠挑灯读。我本无愁，也替临风哭。薄命小青伊又续。最怜才女偏无禄。画眉人解传珠玉。俗粉庸脂，空老黄金屋。
行香子 赠女尼静缘（清·王瑗）	早削云鬟。了悟三缘。比丘尼、也证诸天。偶谈妙谛，真破枯禅。看日方中，花乱坠，石频颠。自笑无端。蝶梦流连。送颜红、睡枕餐盘。拟除金钏，学坐蒲团。奈痛荆凋，念椿老，恋萱妍。
水调歌头 折庭桂寄玉雯姊，即询菊花消息（清·王瑗）　　押阳韵	分手半秋矣，金粟又飘香。对兹云外仙艳，月姊忆瑶光。不惜兔惊折取，好趁鸾飞寄与，镜助晓来妆。或用胆瓶供，静倚一枝旁。想君来，东篱下，旧芬芳。不知近日消息，可有几分黄。倘许翠衿人到，共把白衣酒酌，小醉正无妨。我辈不栉士，只合为花忙。
念奴娇 新婢（清·王瑗）	买来新婢，看生虽草舍，盈盈娇小。只为饥寒抛骨肉，竟作依人飞鸟。顽不闻呼，懒先觅睡，闺课何曾晓。且须情恕，跛奚黄子尝教。吾更约法三章，屏当绣线，床拂中庭扫。瀹茗焚香司笔砚，插架尤须端好。数日长随，一朝谛视，村气除多少。喜分钗朵，笑他还插颠倒。
水龙吟 敬题张夫子乐圃词钞后（清·王瑗）	笔端跳虎挐龙，当今谁似张夫子。诗肠九曲，文心万窍，并堪垂世。减字偷声，惊才绝艳，吾尤观止。算骚坛几辈，酿花成蜜，该周柳，兼姜史。不栉羞称进士，列门墙，也添桃李。香分一瓣，咀华小草，序言蒙赐。辄作蝇鸣，妄思骥附，题词聊拟。却还愁、终是女郎弱调，博掀髯耳。
齐天乐 先大人七终日哭奠作（清·王瑗）	百身难赎生吾父，柔肠断来如剪。掌上擎珠，膝前琢玉，海水量恩还浅。何悭鹤算。竟续命丝难，返魂香远。恨赍难留，邓攸无子枉为善。凭棺惟剩弱女，欲灵椿伴萎，无奈萱恋。强解愁颜，潜挥痛泪，七供俄惊期满，几筵拜奠。愿佛力垂慈，天心终眷。遗腹生男，德门绵一线。
沁园春 闺课（清·王瑗）	琐琐裙钗，清清闺阁，楚楚功夫。只禽音穿幕，灯边早起，螺光开盒，镜里晨梳。问省椿萱，料量松菊。绣绿描红较密疏。抛针处，又签分四部，斐几摊书。兴来柳絮吟馀。更减字偷声按谱图。或闲摹法帖，十三行也，静调清瑟，廿五弦乎。香爇龙涎，茶烹雀舌，饥饱还教问玉奴。黄昏后，尚敲棋迟睡，阿母频呼。
贺新郎 雨后追悼亡弟（清·王瑗）	正是人无寐。更何堪、芭蕉摇雨，故添愁思。犹记年时当夜永，伴我绣窗嬉戏。还剪烛、摊书斐几。共说种槐馀庆远，喜传家、能续青缃矣。头角露，望吾弟。琼枝何意经霜萎。最堪悲、临终合十，祝亲有子。兔走乌飞三载疾，不见紫胞再世。惭愧煞、北宫养志。几欲长号声转咽，怕重伤白发思儿意。天为我，暗流泪。
