题墨荷（清·常安）　　七言绝句　押阳韵	莲叶萧梢剩绿房，荷花零落损红芳。悬来水槛凉风起，知是荷香慢墨香。
读汉书 其一（清·常安）　　五言排律　押质韵	耳余刎颈交，其固如胶膝。一旦利害临，易辙成仇嫉。吾观古君子，澹然谈接膝。持心如镜平，何尝指白日。广交兴绝交，两论俱可黜。
永平府南台远眺（清·常安）　　押养韵	策马上南台，嵷隆高百丈。云气湿征裘，烈风驱尘坱。烂然金碧浮，琳宫足幽赏。午钟度松林，空际有余响。左右列名山，冬寒似秋爽。怀古一凝眸，遗风犹可想。
读汉书 其二（清·常安）	朱郭有心人，急难得相救。行虽非中庸，气自横宇宙。楼护与原涉，所著一何陋。本以诈得名，群豪乃辐辏。始知游侠中，亦有稂与莠。
