夜闻角声（清·朱培源）　　七言绝句　押豪韵	寒重江城月未高，短衣几辈走流壕。角声吹断清宵梦，渐觉霜痕上鬓毛。
洗兵马（清·朱培源）	妖旗夜落蚩尤星，炮声怒卷飞雷霆。倒泻海水浴泰岱，万里净扫烽烟清。我朝乂安二百载，列圣继轨开承平。拓地远置日南郡，受降更筑天西城。地大物博孽芽伏，草泽乃有奸民生。汉家厄运际阳九，赤径青犊交横行。殷忧自古启明圣，商宗恭默成中兴。今皇嗣位圣神武，扛鼓一奏人皆惊。深宫撤膳忧社稷，彤廷简钺求贤英。朔方九道会义旅，招讨四面开行营。天戈所指贼氛息，跳梁小丑敢纵横。前年王师下淮甸，崇朝瘴雾收金陵。三吴士女获安枕，如出水火衽席登。捻匪豕突未知悔，负恃爪距犹狰狞。皇心赫怒敕将帅，务穷巢穴犁其庭。已遣萧相领财赋，复移光弼麾旗旌。六师大举入兖沂，不惜赏赍倾金缯。军心凫藻气百倍，如汤沃雪海浇萤。昨闻露布驰驿骑，逆徒果见天诛撄。贝州生缚王则献，稿街斧钺申常刑。首恶就戮胁从散，青齐氓庶均安生。捷音朝达百官贺，上殿万寿争称觥。告成郊庙荐礼乐，叙次勋力酬功名。金瓯一统更无缺，梯航山海来赆琛。珠囊晖丽烛寰宇，妖鸟永绝罗平声。野人喜剧不成寐，坐视天狗潜无形。银河熠熠耿千丈，安得手挽洗八纮。长使宇宙不见兵，子孙世世安樵耕。
秋日乡行（清·朱培源）	平田无畔土枯白，沟渠流浅仅盈尺。小车历辘行途中，晴久飞沙满衣帻。西风侧帽苦尘昏，何若江南水绕村。渔庄蟹舍吴淞路，两桨艖䒀直到门。
