虞姬（清·吴永和）　　五言绝句　押纸韵	大王真英雄，姬亦奇女子。惜哉太史公，不纪美人死。
赠外子玉苍北上（清·吴永和）　　五言绝句　押寒韵	挟策长安去，谁怜行路难。恐伤游子意，别泪不轻弹。
满江红 春归（清·吴永和）	落絮飘香，问何事，春归恁速。任年年憔悴，眉峰双蹙。病骨未容持半偈，愁怀剩得盈千斛。怪痴情，似草尽还生，萦心曲。惊残梦，风敲竹。欹单枕，茶初熟。惟数声啼鸟，伴人幽独。槛外花光消腻粉，阶前苔色欺蛾绿。把无聊，都付断肠吟，凭谁续。
疏帘淡月 同筠上弟玩月（清·吴永和）	西风寒峭，怪竹里蟾光，今宵偏皎。寂寂药房重启，数惊宿鸟。算来清赏人知少。记当年、香闺稚小。笑携女伴，惜花爱月，眠迟起早。空叹息、颜随秋老。愁魔相逐，病魔相搅。回首繁华去也，半生烦恼。新茶且共灯前试，更博山、沉水微袅。小帘风揭，疏棂露湿，邻鸡催晓。
