梦江南 寄五妹刘何减（清·李长宜）	家园好，花事说东皋。国色有人欺芍药，乡心昨夜寄樱桃。镜阁梦迢迢。
点绛唇 春闺（清·李长宜）	叫彻黄鹂，难留住韶华片刻。垂杨如织。万缕伤心碧。春到愁生，春去愁无敌。人儿只。相思泪滴。点点啼鹃血。
画堂春（清·李长宜）	小轩无事日初长。闲吟带草生香。榴花簇簇映斜阳。半吐红妆。月色暗侵帘幕，风来宛似潇湘。流萤轻透点罗裳。无限凄凉。
惜分钗（清·李长宜）	愁难遣。风流减。欲绣鸳鸯心又懒。恨悠悠。雨啾啾。衷肠欲诉，齿上还留。休。休。休。香烬落。情萧索。仿佛灯前人似玉。意儿亲。脸儿迎。温柔谁■，忒煞撩人。卿。卿。卿。
