张保受降口号（清·刘廷楠）　　七言绝句　押尤韵	鼙鼓声中泛上游，海门何处觅封侯。城头指点洪涛里，刘令生还一叶舟。
题仲柘庵海天一览图（清·刘廷楠）	南溟上接银汉遥，谁实主之赤与寥。乾轮坤轴双丸跳，阳冰阴火冶不销。浑沌之初如浮泡，狂澜不肯循汐潮。飓母吹浪鼋鼍号，山泽错逆无支条。王公设险磐石牢，东崎大虎西崖蕉。三门一束如堂坳，零丁鸡足吾坰郊。利涉索度达沃焦，梯航万国百宝饶。商贾重利狎风飙，帆樯出没无昏朝。守兹土者若斗筲，蜑人龙户俱雄枭。海防海战纷哓哓，谈兵纸上嗤虚枵。柘庵吏事迈常僚，亭鼓无警民不佻。还虑萑苻伺劫剽，欲穷澳屿擒酋豪。山垄碨磊紫澜高，望涛远决色无挠。惊帆如叶舟如瓢，长年如豆橹如毛。海童马衔不敢邀，恍驱雷霆鞭巨鳌。天水混茫一色包，云谲波诡万象昭。或若神山隐岧峣，或若岛夷分土茅。或若冯夷击灵鼗，或若阳侯驭云䮽。或若群妖视眇䁘，或若鬼国状僬侥。或若蜃窟吐虹桥，或若鲛室挂冰绡。灵变惚恍难具描，风激浪骇促归桡。逻卒沙丁远然膏，鱼姑蚬姝夜吹箫。测海今知众言淆，世所未名目已遭。忆昔氛祲尚未消，水犀三千久垂橐。天吴不戢鲸鲵骄，幻化介鬼长鳞妖。红旗黑帜连千艘，安得周郎赤壁烧。帝咨元老建节旄，楼船五月下南交。封狼生貙雉卵蛟，岠虚负蟨猿援猱。右臂宜断左宜招，近者用抚远用剿。顾我素未谙钤韬，徒以命薄轻洪涛。慷慨请行浮一舠，冲其壁垒捣其巢。渠魁面缚不血刀，群丑解甲齐山腰。受降台筑拜嫖姚，不数伏波铜柱标。书生蹈险幸偶徼，虎穴得子敢告劳。披君此图白首搔，双眸犹眩心旌摇。方今环海涤腥臊，彯沙礐石无逋逃。余殄犹恐孕䗤{虫条}，安不忘危是吾曹。与君谊结古同袍，老矣壮志未全抛。共抒心力答熙朝，非徒奇绝诧游遨。
李东田明经用东坡石鼓韵留别次韵奉和（清·刘廷楠）　　押有韵	我生之时在己丑，弹指流光变童叟。廿年岭海蚁磨旋，又到梅州牛马走。旧业全抛嗤负腹，新政试行慎防口。此邦文物盛渊源，多士云龙争先后。伊昔缔交识一二，于今望气得八九。驱车不须避阳鱎，闭门无从见泄柳。比年校士属有司，仔细量才数升斗。鲜新差拟管生花，诘屈或若柏生肘。模糊老眼溷场师，得毋兰艾埋蒿莠。五羊名士今谪仙，三载盟心吾畏友。别裁伪体黜轧茁，讹字方言辨乳{孛殳}。譬彼象罔索元珠，了如伏生识蝌蚪。青云意气爱少年，白首心情怜宿耇。我昔怀铅佐玉尺，候虫时乌纷唧嗾。漫屈诤人伸僬侥，敢重商提轻梁卣。所惧相皮反遗骨，五色全迷目同瞍。二十八宿动星文，指点翼岣与离嵝。陋儒一得窃自喜，与君论文觉颜厚。清言明理瓶泻水，宗派支流析某某。多钱不敢傲贫儿，良贾深藏如乌有。却惭俗吏逐风尘，委置诗书习鞭杻。饷我新诗抵百朋，应付琅嬛锁双狗。惜哉梳妆不入时，待字频年犹未偶。翻许刘安有仙骨，解得徐铉为龙首。瑰然大璞不彫琢，留待良匠施攻掊。老手斫轮自有真，雕虫小技何足取。传观见说愈头风，长吟顿使涤心垢。云路从此看腾达，风檐莫更叹株守。总然良马感孙阳，不遇先睹或同朽。一编愿付青梅巢，梨枣长媲乔松寿。
