忆江南 咏雪（清·钱慧贞）	帘外雪，密洒似银沙。飞去隋堤疑柳絮，飘来庾岭认梅花。春思落谁家。
浪淘沙 秋日有怀王佩霞世妹（清·钱慧贞）	握别未轻旬。回首销魂。知君绮阁懒香焚。赋得瑶篇来慰我，转触愁新。梧叶落纷纷。风雨衡门。悲秋况是惜离群。今夜夜长应有梦，再话殷勤。
蝶恋花 饯春日值雨（清·钱慧贞）	风捲残红春已暮。垂柳丝长，暂绾东君住。天意哪知人恨处。廉纤几阵纱窗雨。把酒饯春春不语。春既无情，一任匆匆去。湿尽金衣莺诉苦。凭栏又触愁如许。
洞仙歌 敬题张荫嘉母舅《乐圃词钞》后（清·钱慧贞）	铜琶牙板，数词家名手。柳腻苏豪孰兼有。豁双眸、舅氏乐圃词钞，真莫怪、脍炙骚坛人口。慈亲题语在，记得年时，曾向妆台课停绣。篇什富珠玑，击节人亡，低唱罢、泪沾红袖。愿本意、早填谒金门，使屈姊、舒开夜台眉皱。
水调歌头 送外之金陵应试（清·钱慧贞）	夫子富才调，宝剑岂长埋。晚成当此时矣，去去莫疑猜。但向蓬窗茅店，珍重风餐露宿，漫念米和柴。弱质纵非健，门户学持来。桃叶渡，伤心窟，古休怀。三场为我，鏖战努力步云阶。好趁桂花香里，玩罢板桥明月，归棹理秦淮。端正拂尘酒，何惜拔金钗。
