戏酬友人惠日铸茶（清·正岩）　　七言绝句　押麻韵	几日春游遍若耶，入城布衲满烟霞。正愁仙福难消受，又吃人间御贡茶。
月下由御教场下投净慈宿朗公房（清·正岩）　　七言绝句　押支韵	御教场中月直时，下山全不道归迟。三松影落半湖水，一路沿钟到净慈。
田家（清·正岩）	田家无他望，所望在平畦。但恐终岁力，不得遂其私。何哉造物者，亦得厚我施。夜来微雨过，使我菜麦滋。登丘一以眺，秀色远参差。此时桃与李，岂乏好容姿。顾予朴野性，独与此相宜。及时务耕作，那敢贪天时。
