萤（清·华氏）　　五言绝句　押阳韵	自信微明在，秋来委砌傍。在生同腐草，没后有馀光。
纸鸢（清·华氏）　　五言绝句　押寒韵	借得东方力，无端生羽翰。一丝通线索，谁不仰头看。
秋扇（清·华氏）　　七言绝句　押寒韵	箧里深藏得自完，人情冷暖一何叹。劝君切莫轻抛掷，留待春回另眼看。
香（清·华氏）　　押青韵	解秽除烦豁性灵，玉炉风细绕彤庭。最怜宝鼎烟销后，身巴成灰气尚馨。
