把杂尔（清·景廉）　　七言绝句　押尤韵	珍奇罗列耀双眸，把杂喧阗夕未收。西域贾胡多嗜利，倾抛乡国觅蝇头。
威呼（清·景廉）　　七言绝句　押尤韵	居然刳木可为舟，小艇浑如一叶浮。行到中流回首望，四围波浪拍轻鸥。
穹庐（清·景廉）　　七言绝句　押庚韵	旃帷环绕木高撑，行馆真能着手成。短榻孤檠眠未稳，终宵卧听马蹄声。
