题林亚清画（清·顾姒）　　七言绝句　押麻韵	梅花竹叶互交加，濡墨淋漓整复斜。忆得昨宵明月下，横拖疏影上窗纱。
毛安芳挽歌（清·顾姒）	忆昔当春时，寿君惭不文。未几闻君丧，奄忽如流云。流云过眼空悲怨，大火西流时倏变。玉楼金屋网蟏蛸，西风叶落空深院。凄凉宝瑟掩馀音，惨淡菱花冷钗钿。尚忆当年对镜人，镜中鸾死悲娇面。织锦诗成那得闻，墨池寒浸琉璃片。不知何处吊君魂，草白磷青望中见。
满江红 泊淮示夫子（清·顾姒）	一叶扁舟，轻帆下、停桡古岸。灯火外、几枝疏树，人家隐见。漂母祠前荒草合，韩侯台上寒云断。叹从来，此地困英雄，江山惯。穷愁味，君尝遍。人情恶，君休叹。问前村有酒，金钗弃换。举案无辞今日醉，题桥好遂他年愿。听三更，怒浪起中流，鱼龙变。
