叹（汉·张衡）	大火流兮草虫鸣。繁霜降兮草木零。秋为期兮时已征。思美人兮悉民屏营①。
同声歌（汉·张衡）　　押阳韵	邂逅承际会，得充君后房。情好新交接，恐栗若探汤。不才勉自竭，贱妾职所当。绸缪主中阁，奉礼助烝尝。思为苑蒻席，在下蔽匡床。愿为罗衾帱，在上卫风霜。洒扫清枕席，鞮芬以狄香。重户结金扃，高下华灯光。衣解巾粉御，列图陈枕张。素女为我师，仪态盈万方。众夫所希见，天老教轩皇。乐莫斯夜乐，没齿焉可忘①。
歌（汉·张衡）	浩浩阳春发，杨柳何依依。百鸟自南归，翱翔萃我枝①。
四愁诗（汉·张衡）	一思曰：我所思兮在太山。欲往从之梁父艰。侧身东望涕沾翰。美人赠我金错刀。何以报之英琼瑶。路远莫致倚逍遥。何为怀忧心烦劳①。二思曰：我所思兮在桂林。欲往从之湘水深。侧身南望涕沾襟。美人赠我金琅玕。何以报之双玉盘。路远莫致倚惆怅。何为怀忧心烦伤。三思曰：我所思兮在汉阳。欲往从之陇阪长。侧身西望涕沾裳。美人赠我貂襜褕。何以报之明月珠。路远莫致倚踟蹰。何为怀忧心烦纡②。四思曰：我所思兮在雁门。欲往从之雪雰雰。侧身北望涕沾巾。美人赠我锦绣段。何以报之青玉案。路远莫致倚增叹。何为怀忧心烦惋③。
歌（汉·张衡）	天地烟煴，百卉含花。鸣鹤交颈，雎鸠相和。处子怀春，精魂回移。如何淑明，忘我实多①。
歌（汉·张衡）　　押支韵	皇皇者凤，通玄知时。萃于山趾，与帝邀期。吉事有祥，惟汉之祺①。
怨诗（汉·张衡）	猗猗秋兰①，植彼中阿。有馥其芳，有黄其葩。虽曰幽深，厥美弥嘉。之子之远，我劳如何②。我闻其声，载坐载起③。同心离居，绝我中肠④。
歌（汉·张衡）　　押阳韵	惊雄逝兮孤雌翔。临归风兮思故乡①。
诗（汉·张衡）	愿言不获，终然永思①。
