越人土风歌（汉·佚名）　　押歌韵	其山崔巍以嵯峨，其水溢遝而扬波，其人厽砢而英多①。
汉双鱼铜洗铭（汉·佚名）　　押阳韵	富贵昌，宜侯王，大吉羊①。
汉元光镜铭（汉·佚名）	汉造作尚方明竟，幽炼三商。周照无极，山海光明，长乐未央。富且昌，宜侯王。□命长寿，官位至三公。寿如东王父，西王母仙人。
汉王氏镜铭（汉·佚名）	王氏作竟百采服，多贺新家人民息。官位普照天下复，风雨时节五谷熟。长保二亲子孙力，传告后世乐无极①。
汉青盖镜铭（汉·佚名）	青盖作竟四夷服，多贺国家人民息。胡虏殄灭天下复，风雨时节五谷熟。长保二亲得天力，传告后世乐无极①。
汉宜文章镜铭（汉·佚名）　　押阳韵	炼冶铜华清而明，以之为镜而宜文章。乃延年益寿去不羊，与天毋极而日月之光。毋相忘①。
吴永安五年镜铭（汉·佚名）　　押阳韵	明镜百炼师命长。常富贵，乐未央，宜侯王①。
汉五铢钱铜范铭（汉·佚名）　　押阳韵	长乐未央，贵比侯王①。
槟榔俗语（汉·佚名）　　押尤韵	槟榔扶留，可以忘忧①。
汉献帝时人为邓盛语（汉·佚名）	淑问得竟，皋陶邓盛①。
