雨微山（宋·翁仲德）　　七言绝句　押侵韵	大川东逝近丛林，石壁潮音杂梵音。旱望湫龙嘘涧气，沛然甘雨慰农心。
夜飞山（宋·翁仲德）　　七言绝句	江南雨霁彩云开，眼界空宽翠色排。蜀客踌躇还识认，子规啼月夜归来。
鸣鹤山（宋·翁仲德）　　七言绝句　押肴韵	沧海东头鹤阜高，仙人骑鹤下林坳。一声唳起扬州去，华表空馀月下巢①。
