题马远画梅四幅（宋·杨娃）　　七言绝句　押阳韵	重重叠叠染缃黄，此际春光已半芳。开处不禁风日煖，乱飞晴雪点衣裳①。
题马和之画四小景（宋·杨娃）　　七言绝句　押歌韵	人道中秋明月好，欲邀同赏意如何。华阳洞里秋坛上，今夜清光此处多。
题赵伯骕画（宋·杨娃）　　七言绝句　押真韵	莲开宫沼年年盛，香染斑衣叶叶新。愿借琴音奏清雅，薰风凉殿寿双亲①。
