行县憩九龙岩（宋·黄朝散）　　七言绝句　押寒韵	金鳞玉角照人寒，何事清时此蛰蟠。甘泽不辞膏品物，奚惭济济舜朝官。
再过九龙岩（宋·黄朝散）　　七言绝句　押歌韵	腊尽春来气应和，丰年嘉瑞作民歌。一杯龙洞梅花酒，□破牢愁埒太阿。
睹丞相曾公为桂帅时经过留题（宋·黄朝散）　　七言绝句　押先韵	龙岩重到腊残天，欲访丹成行满仙。因睹曾公题刻妙，气腾忠谊拂云烟。
将到岩洞油云忽作骤雨滂霈（宋·黄朝散）　　七言绝句　押文韵	寸心忧旱隐如焚，默念僖心闵雨勤①。欲到九龙岩数里，霈然甘泽副油云。
得雨移刻即止惜乎不广（宋·黄朝散）　　七言绝句　押文韵	骤雨滂沱若救焚，痡瘏时暂慰劳勤。若教千里均沾渥，多稼看看胜□云。
和阮倅正名九仙（宋·黄朝散）　　七言绝句　押先韵	采□形相异为仙，识性谁知共一天。泽物度人均是道，瑞昭千载起祥烟。
和士曹曹文林省题九龙岩（宋·黄朝散）　　七言绝句　押侵韵	不为鱼计伏藏深，鸣和奚惭鹤在阴①。千里秋苗如普润，何妨信史一书霖。
五年二月朔投晓到岩寺适值亡女忌日因而饭僧（宋·黄朝散）　　七言绝句　押真韵	沐雨冲风夜向晨，九龙岩畔报中春。行庖一供山僧饭，下咽甘□不笑贫①。
