行香子（宋·黄孝迈）	一春花下，幽恨重重。又愁晴，又愁雨，又愁风。
水龙吟（宋·黄孝迈）	自侧金卮，临风一笑，酒容吹尽。恨东风、忙去熏桃染柳，不念淡妆人冷。惊鸿去后，轻抛素袜，杳无音信。细看来，只怕蕊仙不肯，让梅花俊。
湘春夜月（宋·黄孝迈）	近清明。翠禽枝上消魂。可惜一片清歌，都付与黄昏。欲共柳花低诉，怕柳花轻薄，不解伤春。念楚乡旅宿，柔情别绪，谁与温存。空樽夜泣，青山不语，残月当门。翠玉楼前，惟是有、一波湘水，摇荡湘云。天长梦短，问甚时、重见桃根。这次第，算人间没个并刀，剪断心上愁痕。
水龙吟（宋·黄孝迈）	闲情小院沈吟，草深柳密帘空翠。风檐夜响，残灯慵剔，寒轻怯睡。店舍无烟，关山有月，梨花满地。二十年好梦，不曾圆合，而今老、都休矣。谁共题诗秉烛，两厌厌、天涯别袂。柔肠一寸，七分是恨，三分是泪。芳信不来，玉箫尘染，粉衣香退。待问春，怎把千红换得，一池绿水。
