石门（宋·洪壮）　　五言绝句　押侵韵	锁断山川秀，包藏云雾深。只留禅客在，不许俗尘侵。
半月池（宋·洪壮）　　五言绝句　押先韵	凿破苍苔地，湾湾月半边。既能清到底，何必十分圆①。
拥秀堂（宋·洪壮）　　五言绝句　押删韵	松带飞雪暮，檐支落日闲。重岩看不厌，绝胜五台山①。
