游石所题于轩壁（宋·陈易）　　七言绝句　押陌韵	酒吸阳春入肺肠，茶罢清风生肘腋。安知石所洞中人，不是武陵溪上客①。
答有需禅师（宋·陈易）　　七言绝句　押先韵	年来多病爱栖禅，宝鉴慵将照丑妍。却忆南湖孤顶月，定回金磬落岩前①。
颂（宋·陈易）　　押微韵	密坐研穷省细微，到头须是自忘机。应无祖佛能超越，岂有冤亲更顺违。历历孤明犹认影，巍巍独步尚披衣。翻嗟会得昭灵者，也道寻师得旨归。
