杜牧（宋·田昼）　　七言绝句　押支韵	弟病兄孤失所依，当时书语最堪悲。岂图乞得南州后，却恨寻芳去较迟。
墨子（宋·田昼）　　七言绝句　押支韵	末学纷纷自有师，能言兼爱我独疑。定知已驾云梯后，却悔初心泣染丝①。
玉盘（宋·田昼）　　七言绝句　押寒韵	少皞磨成白玉盘，六丁擎出太虚宽。青光千古称万古，留向人间此夜看①。
筑长堤（宋·田昼）	筑长堤，白头荷杵随者妻。背胁伛偻筋力微，以手置胸路旁啼。老夫七十妪与齐，五尺应门生两儿。夜来春雨深一犁，破晓径去耕南陂。南邻里正豪且强，白纸大字来呼追。科头跣足不得稽，要与官长修长堤。官长亦大贤，能得使者意。正堤驾轺轩，不复问馀事。终当升诸朝，自足富妻子。何惜桑榆年，一为官长死①。
