横溪堂春晓二首（宋·虞似良）　　七言绝句　押青韵	一把新秧趁手青，轻烟漠漠雨冥冥。东风染尽三千顷，白鹭飞来无处停。
诗一首（宋·虞似良）　　七言绝句　押阳韵	一杯山茗雪花白，数片甘瓜碧玉香。但得心閒无个事，人生何地不清凉①。
消湖（宋·虞似良）　　七言绝句	野草闲花洞口春，碧潭如鉴净无尘。江山好景携不得，漾入酒杯和月吞①。
